COMUNE,ISTAT,PROVINCIA,CODICE_ZONA_OMOGENEA_RISCHIO_IDROMETEO,NOME_ZONA_OMOGENEA_RISCHIO_IDROMETEO
CERMENATE,3013064,CO,IM-09,NODO IDRAULICO DI MILANO
CESANO BOSCONE,3015074,MI,IM-12,BASSA PIANURA OCCIDENTALE
CASELLE LANDI,3098011,LO,IM-12,BASSA PIANURA OCCIDENTALE
VERGIATE,3012138,VA,IM-04,LAGHI E PREALPI VARESINE
CORNALBA,3016249,BG,IM-06,OROBIE BERGAMASCHE
SAN BENEDETTO PO,3020055,MN,IM-13,BASSA PIANURA ORIENTALE
MORTERONE,3097055,LC,IM-05,LARIO E PREALPI OCCIDENTALI
BAGNATICA,3016018,BG,IM-10,PIANURA CENTRALE
COSTA MASNAGA,3097026,LC,IM-09,NODO IDRAULICO DI MILANO
BARZANO`,3097006,LC,IM-09,NODO IDRAULICO DI MILANO
CASSAGO BRIANZA,3097017,LC,IM-09,NODO IDRAULICO DI MILANO
MONTAGNA IN VALTELLINA,3014044,SO,IM-02,MEDIA-BASSA VALTELLINA
MONTEVECCHIA,3097053,LC,IM-05,LARIO E PREALPI OCCIDENTALI
CASORATE SEMPIONE,3012039,VA,IM-09,NODO IDRAULICO DI MILANO
SAN BASSANO,3019088,CR,IM-10,PIANURA CENTRALE
INZAGO,3015114,MI,IM-09,NODO IDRAULICO DI MILANO
MONTICELLI BRUSATI,3017112,BS,IM-08,LAGHI E PREALPI ORIENTALI
BRENTA,3012019,VA,IM-04,LAGHI E PREALPI VARESINE
CERVESINA,3018047,PV,IM-12,BASSA PIANURA OCCIDENTALE
CUCCIAGO,3013084,CO,IM-09,NODO IDRAULICO DI MILANO
MALEGNO,3017100,BS,IM-07,VALCAMONICA
AZZANELLO,3019004,CR,IM-11,ALTA PIANURA ORIENTALE
CIRIMIDO,3013068,CO,IM-09,NODO IDRAULICO DI MILANO
TELGATE,3016212,BG,IM-11,ALTA PIANURA ORIENTALE
REDAVALLE,3018120,PV,IM-14,APPENNINO PAVESE
TORRE BERETTI E CASTELLARO,3018156,PV,IM-12,BASSA PIANURA OCCIDENTALE
SESTO CALENDE,3012120,VA,IM-04,LAGHI E PREALPI VARESINE
PARLASCO,3097064,LC,IM-05,LARIO E PREALPI OCCIDENTALI
MAZZANO,3017107,BS,IM-11,ALTA PIANURA ORIENTALE
GERENZANO,3012075,VA,IM-09,NODO IDRAULICO DI MILANO
PAVIA,3018110,PV,IM-12,BASSA PIANURA OCCIDENTALE
VALGANNA,3012131,VA,IM-04,LAGHI E PREALPI VARESINE
CALVIGNANO,3018025,PV,IM-14,APPENNINO PAVESE
MEDE,3018088,PV,IM-12,BASSA PIANURA OCCIDENTALE
CIMBERGO,3017054,BS,IM-07,VALCAMONICA
GAVERINA TERME,3016110,BG,IM-08,LAGHI E PREALPI ORIENTALI
GARZENO,3013106,CO,IM-05,LARIO E PREALPI OCCIDENTALI
CAVA MANARA,3018041,PV,IM-12,BASSA PIANURA OCCIDENTALE
STRADELLA,3018153,PV,IM-14,APPENNINO PAVESE
LISCATE,3015122,MI,IM-09,NODO IDRAULICO DI MILANO
RESCALDINA,3015181,MI,IM-09,NODO IDRAULICO DI MILANO
ABBIATEGRASSO,3015002,MI,IM-09,NODO IDRAULICO DI MILANO
BOVEZZO,3017025,BS,IM-08,LAGHI E PREALPI ORIENTALI
NOVATE MILANESE,3015157,MI,IM-09,NODO IDRAULICO DI MILANO
CERESARA,3020019,MN,IM-11,ALTA PIANURA ORIENTALE
VIGNATE,3015237,MI,IM-09,NODO IDRAULICO DI MILANO
ISEO,3017085,BS,IM-08,LAGHI E PREALPI ORIENTALI
ENTRATICO,3016094,BG,IM-08,LAGHI E PREALPI ORIENTALI
DAZIO,3014025,SO,IM-02,MEDIA-BASSA VALTELLINA
RONCELLO,3108055,MB,IM-09,NODO IDRAULICO DI MILANO
BASSANO BRESCIANO,3017013,BS,IM-11,ALTA PIANURA ORIENTALE
ARZAGO D`ADDA,3016013,BG,IM-10,PIANURA CENTRALE
CALCO,3097012,LC,IM-05,LARIO E PREALPI OCCIDENTALI
MELEGNANO,3015140,MI,IM-09,NODO IDRAULICO DI MILANO
ROBECCO PAVESE,3018124,PV,IM-12,BASSA PIANURA OCCIDENTALE
VALLE SALIMBENE,3018169,PV,IM-12,BASSA PIANURA OCCIDENTALE
NICORVO,3018103,PV,IM-12,BASSA PIANURA OCCIDENTALE
LA VALLETTA BRIANZA,3097092,LC,IM-05,LARIO E PREALPI OCCIDENTALI
SONGAVAZZO,3016201,BG,IM-08,LAGHI E PREALPI ORIENTALI
SENNA LODIGIANA,3098053,LO,IM-12,BASSA PIANURA OCCIDENTALE
MORNAGO,3012106,VA,IM-04,LAGHI E PREALPI VARESINE
CERVENO,3017049,BS,IM-07,VALCAMONICA
BERBENNO,3016023,BG,IM-06,OROBIE BERGAMASCHE
COLERE,3016078,BG,IM-07,VALCAMONICA
SILVANO PIETRA,3018149,PV,IM-12,BASSA PIANURA OCCIDENTALE
PERTICA ALTA,3017139,BS,IM-08,LAGHI E PREALPI ORIENTALI
VILLA DI TIRANO,3014078,SO,IM-02,MEDIA-BASSA VALTELLINA
BESOZZO,3012013,VA,IM-04,LAGHI E PREALPI VARESINE
VILLA BISCOSSI,3018178,PV,IM-12,BASSA PIANURA OCCIDENTALE
CALVIGNASCO,3015042,MI,IM-12,BASSA PIANURA OCCIDENTALE
FONTENO,3016102,BG,IM-08,LAGHI E PREALPI ORIENTALI
COMAZZO,3098020,LO,IM-10,PIANURA CENTRALE
MONTEBELLO DELLA BATTAGLIA,3018095,PV,IM-14,APPENNINO PAVESE
SALERANO SUL LAMBRO,3098046,LO,IM-12,BASSA PIANURA OCCIDENTALE
MAIRAGO,3098034,LO,IM-10,PIANURA CENTRALE
BORGOFRANCO SUL PO,3020006,MN,IM-13,BASSA PIANURA ORIENTALE
CUSANO MILANINO,3015098,MI,IM-09,NODO IDRAULICO DI MILANO
LIMBIATE,3108027,MB,IM-09,NODO IDRAULICO DI MILANO
ZONE,3017205,BS,IM-08,LAGHI E PREALPI ORIENTALI
BELLINZAGO LOMBARDO,3015016,MI,IM-09,NODO IDRAULICO DI MILANO
CILAVEGNA,3018050,PV,IM-12,BASSA PIANURA OCCIDENTALE
CASCIAGO,3012038,VA,IM-04,LAGHI E PREALPI VARESINE
MERLINO,3098039,LO,IM-10,PIANURA CENTRALE
