ANNO,ATS STRUTTURA,CODICE STRUTTURA DI RICOVERO,DESCRIZIONE STRUTTURA DI RICOVERO,CODICE ACC DI DIAGNOSI 1,DESCRIZIONE ACC DI DIAGNOSI 1,DEGENZA MEDIA TOTALE,ACCESSI MEDI TOTALE
2012,326 - ATS DI BRESCIA,030156-00,OSPEDALE DI DESENZANO,1,MALATTIE INFETTIVE E PARASSITARIE,6.697248,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030389-01,SAN CARLO,10,MALATTIE DEL SISTEMA GENITO-URINARIO,1.989071,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030948-00,CASA DI CURA MULTIMEDICA  S.P.A.,12,MALATTIE DELLA PELLE E DEL TESSUTO SOTTOCUTANEO,2.759259,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030057-00,PRESIDIO OSPED. MACEDONIO MELLONI-MILANO,10,MALATTIE DEL SISTEMA GENITO-URINARIO,4.244944,1
2012,326 - ATS DI BRESCIA,030178-00,IST.CLIN. CITTA' DI BRESCIA SPA-BRESCIA,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,5.207416,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030121-00,CASA DI CURA S. PIO X - MILANO,11,COMPLICAZIONI DELLA GRAVIDANZA; PARTO; E IL PUERPERIO,3.407992,0
2012,325 - ATS DI BERGAMO,030350-00,OSPEDALE S.ISIDORO - TRESCORE B.,16,LESIONI E AVVELENAMENTO,30.19697,0
2012,328 - ATS DI PAVIA,030203-00,OSPEDALE ASILO VITTORIA - MORTARA,18,"CODICI RESIDUI, NON CLASSIFICATI",3.632184,2
2012,324 - ATS DELLA BRIANZA,030903-00,"OSPEDALE DI CIRCOLO ""A. MANZONI"" - LECCO",5,MALATTIE MENTALI,16.159524,4.777778
2012,323 - ATS DELLA MONTAGNA,030042-00,OSPEDALE CIVILE - SONDRIO,3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",4.852174,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030121-00,CASA DI CURA S. PIO X - MILANO,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,11.195489,1
2012,323 - ATS DELLA MONTAGNA,030031-00,OSP. MORIGGIA PELASCINI - GRAVEDONA,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,8.689655,2.666667
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030071-00,OSPEDALE S. MARIA DELLE STELLE MELZO,5,MALATTIE MENTALI,10.412548,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030910-00,OSPEDALE FATEBENEFRATELLI E OFTALMICO,7,MALATTIE DEL SISTEMA CIRCOLATORIO,8.433668,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030057-00,PRESIDIO OSPED. MACEDONIO MELLONI-MILANO,7,MALATTIE DEL SISTEMA CIRCOLATORIO,7.759162,0
2012,324 - ATS DELLA BRIANZA,030068-00,PRESIDIO OSPEDALIERO DI DESIO,7,MALATTIE DEL SISTEMA CIRCOLATORIO,7.558849,4.5
2012,324 - ATS DELLA BRIANZA,030070-00,PRESIDIO OSPEDALIERO DI CARATE ,15,ALCUNE CONDIZIONI ORIGINATE NEL PERIODO PERINATALE,4.800654,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030281-01,OSPEDALE DI LEGNANO,8,MALATTIE DEL SISTEMA RESPIRATORIO,7.785669,1.5
2012,328 - ATS DI PAVIA,030193-00,OSPEDALE CIVILE - VIGEVANO,8,MALATTIE DEL SISTEMA RESPIRATORIO,6.298627,1
2012,326 - ATS DI BRESCIA,030159-00,P.O. MONTICHIARI- A.O. SPEDALI CIVILI,8,MALATTIE DEL SISTEMA RESPIRATORIO,11.164706,0
2012,327 - ATS DELLA VAL PADANA,030239-00,OSP.CIVILE DESTRA SECCHIA-PIEVE CORIANO,8,MALATTIE DEL SISTEMA RESPIRATORIO,7.684105,0
2012,327 - ATS DELLA VAL PADANA,030227-00,PRESIDIO OSPEDALIERO - ASOLA,16,LESIONI E AVVELENAMENTO,4.862745,1
2012,328 - ATS DI PAVIA,030190-00,OSPEDALE CARLO MIRA-CASORATE PRIMO,9,MALATTIE DELL'APPARATO DIGERENTE,9.662162,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030103-00,CASA DI CURA PALAZZOLO-FOND.DON GNOCCHI,9,MALATTIE DELL'APPARATO DIGERENTE,17.774194,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030125-00,CASA DI CURA AMBROSIANA SPA-CESANO B.,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,11,0
2012,326 - ATS DI BRESCIA,030295-00,POLIAMBULANZA - BRESCIA,5,MALATTIE MENTALI,7.316456,0
2012,324 - ATS DELLA BRIANZA,030034-00,CASA DI CURA G.B. MANGIONI - LECCO,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,1.547945,0
2012,325 - ATS DI BERGAMO,030147-00,POLICLINICO SAN MARCO S.R.L.-OSIO SOTTO,10,MALATTIE DEL SISTEMA GENITO-URINARIO,1.993046,1
2012,327 - ATS DELLA VAL PADANA,030219-00,CASA DI CURA FIGLIE DI S.CAMILLO-CREMONA,10,MALATTIE DEL SISTEMA GENITO-URINARIO,5.085714,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030084-00,"P.O.""ANASTASIO ZAPPATONI""-CASSANO D'ADDA",16,LESIONI E AVVELENAMENTO,26.825806,0
2012,328 - ATS DI PAVIA,030194-00,OSPEDALE CIVILE - VOGHERA,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,5.30897,1
2012,322 - ATS DELL'INSUBRIA,030030-00,OSP.GENERALE DI ZONA VALDUCE - COMO,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,4.622951,1
2012,326 - ATS DI BRESCIA,030159-00,P.O. MONTICHIARI- A.O. SPEDALI CIVILI,16,LESIONI E AVVELENAMENTO,6.053763,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030947-00,I.R.C.C.S. POLICLINICO SAN DONATO,3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",7.47043,0
2012,327 - ATS DELLA VAL PADANA,030273-00,PRESIDIO OSPEDALIERO OGLIO PO,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,8.092105,0
