ANNO,PROVINCIA,GENERE,GRUPPO CAUSA DI MORTE,CAUSA DI MORTE,COORDINATA X,COORDINATA Y,NUMERO DECESSI POPOLAZIONE,POSIZIONE
2012,ITALIA,M,Alcune malattie infettive e parassitarie,tubercolosi,,,181,
2014,ITALIA,F,Alcune malattie infettive e parassitarie,epatite virale,,,1489,
2013,ITALIA,M,Tumori,tumori maligni-di cui tumori maligni dell'esofago,,,1352,
2012,ITALIA,F,Tumori,tumori maligni-di cui tumori maligni dello stomaco,,,4177,
2013,ITALIA,F,Tumori,tumori maligni-di cui tumori maligni dello stomaco,,,4045,
2015,ITALIA,F,Tumori,tumori maligni-di cui tumori maligni dello stomaco,,,3924,
2013,REGIONE LOMBARDIA,F,Tumori,tumori maligni-di cui tumori maligni della laringe,,,30,
2015,ITALIA,M,Tumori,tumori maligni-di cui tumori maligni della laringe,,,1315,
2014,REGIONE LOMBARDIA,M,Tumori,tumori maligni-di cui melanomi maligni della cute,,,226,
2015,ITALIA,F,Tumori,tumori maligni-di cui melanomi maligni della cute,,,807,
2015,ITALIA,F,Tumori,tumori maligni-di cui tumori maligni del seno,,,12274,
2013,ITALIA,M,Tumori,tumori maligni-di cui tumori maligni dell'ovaio,,,,
2013,ITALIA,F,Tumori,tumori maligni-di cui tumori maligni dell'ovaio,,,3291,
2012,ITALIA,M,Tumori,tumori maligni-di cui tumori maligni del rene,,,2112,
2013,ITALIA,M,Tumori,tumori maligni-di cui tumori maligni della vescica,,,4365,
2014,ITALIA,F,Tumori,tumori maligni-di cui tumori maligni della vescica,,,1238,
2015,REGIONE LOMBARDIA,F,Tumori,tumori maligni-di cui tumori maligni del seno,,,2249,
2012,ITALIA,M,Tumori,tumori maligni-di cui tumori maligni della tiroide,,,257,
2012,REGIONE LOMBARDIA,F,Tumori,tumori maligni-di cui tumori maligni della tiroide,,,58,
2014,REGIONE LOMBARDIA,M,Tumori,tumori maligni-di cui tumori maligni della tiroide,,,31,
2012,REGIONE LOMBARDIA,F,Tumori,tumori maligni-di cui morbo di hodgkin e linfomi,,,429,
2013,ITALIA,M,Tumori,tumori maligni-di cui morbo di hodgkin e linfomi,,,2704,
2013,REGIONE LOMBARDIA,F,"Malattie endocrine, nutrizionali e metaboliche",diabete mellito,,,1240,
2012,REGIONE LOMBARDIA,F,Cause esterne di traumatismo e avvelenamento,accidenti-di cui accidenti di trasporto,,,130,
2015,ITALIA,M,Disturbi psichici e comportamentali,demenza,,,5990,
2015,ITALIA,M,Malattie dell'apparato genitourinario,malattie del rene e dell'uretere,,,5110,
2012,ITALIA,F,Malattie dell'apparato digerente,"cirrosi, fibrosi ed epatite cronica",,,2530,
2015,REGIONE LOMBARDIA,M,Malattie dell'apparato digerente,"cirrosi, fibrosi ed epatite cronica",,,485,
2015,ITALIA,F,Malattie dell'apparato digerente,altre malattie dell'apparato digerente,,,9234,
2013,ITALIA,F,Malattie della cute e del tessuto sottocutaneo,malattie della cute e del tessuto sottocutaneo,,,732,
2015,ITALIA,F,Malattie dell'apparato genitourinario,altre malattie dell'apparato genitourinario,,,1337,
2012,ITALIA,F,Malformazioni congenite ed anomalie cromosomiche,malformazioni congenite ed anomalie cromosomiche,,,610,
2012,ITALIA,F,Cause esterne di traumatismo e avvelenamento,accidenti-di cui cadute accidentali,,,1985,
2013,PAVIA,F,Disturbi psichici e comportamentali,demenza,9.14034225,45.18407925,156,"(45.18407925, 9.14034225)"
2013,ITALIA,F,Cause esterne di traumatismo e avvelenamento,accidenti-di cui avvelenamento accidentale,,,153,
2014,ITALIA,M,Cause esterne di traumatismo e avvelenamento,suicidio e autolesione intenzionale,,,3138,
2013,CREMONA,M,Tumori,tumori maligni-di cui altri tumori maligni,10.0131151,45.13644491,75,"(45.13644491, 10.0131151)"
2015,REGIONE LOMBARDIA,M,Tumori,tumori maligni-di cui tumori maligni dell'esofago,,,268,
2015,CREMONA,F,Tumori,"tumori maligni-di cui tumori maligni del colon, del retto e dell'ano",10.0131151,45.13644491,63,"(45.13644491, 10.0131151)"
2014,LODI,M,Alcune malattie infettive e parassitarie,tubercolosi,9.510140481,45.31535435,1,"(45.31535435, 9.510140481)"
2014,PAVIA,M,Tumori,tumori maligni-di cui tumori maligni della vescica,9.14034225,45.18407925,37,"(45.18407925, 9.14034225)"
2015,PAVIA,F,Tumori,tumori non maligni (benigni e di comportamento incerto),9.14034225,45.18407925,42,"(45.18407925, 9.14034225)"
2015,COMO,M,Tumori,"tumori maligni-di cui tumori maligni della trachea, dei bronchi e dei polmoni",9.039360974,45.80216962,220,"(45.80216962, 9.039360974)"
2015,PAVIA,M,Tumori,tumori maligni-di cui tumori maligni della cervice uterina,9.14034225,45.18407925,,"(45.18407925, 9.14034225)"
2012,MONZA E DELLA BRIANZA,F,Tumori,tumori maligni-di cui tumori maligni del pancreas,9.258430902,45.5823624,87,"(45.5823624, 9.258430902)"
2012,PAVIA,F,Tumori,tumori maligni-di cui altri tumori maligni,9.14034225,45.18407925,173,"(45.18407925, 9.14034225)"
2013,LODI,F,Tumori,tumori maligni-di cui leucemia,9.510140481,45.31535435,14,"(45.31535435, 9.510140481)"
2012,MONZA E DELLA BRIANZA,M,Tumori,tumori maligni-di cui tumori maligni della cervice uterina,9.258430902,45.5823624,,"(45.5823624, 9.258430902)"
2013,LODI,M,Tumori,tumori maligni-di cui tumori maligni del seno,9.510140481,45.31535435,,"(45.31535435, 9.510140481)"
2015,MONZA E DELLA BRIANZA,M,Tumori,tumori maligni-di cui tumori maligni della tiroide,9.258430902,45.5823624,2,"(45.5823624, 9.258430902)"
2012,MANTOVA,F,Tumori,"tumori maligni-di cui tumori maligni del colon, del retto e dell'ano",10.77086348,45.14135331,66,"(45.14135331, 10.77086348)"
2014,LECCO,F,Tumori,tumori maligni-di cui tumori maligni dell'ovaio,9.388156645,45.85028614,18,"(45.85028614, 9.388156645)"
2015,SONDRIO,F,Tumori,"tumori maligni-di cui tumori maligni della trachea, dei bronchi e dei polmoni",9.879429303,46.1707552,39,"(46.1707552, 9.879429303)"
2013,SONDRIO,M,Tumori,tumori maligni-di cui tumori maligni di altre parti dell'utero,9.879429303,46.1707552,,"(46.1707552, 9.879429303)"
2014,REGIONE LOMBARDIA,F,Tumori,tumori maligni-di cui tumori maligni del rene,,,243,
2014,BERGAMO,M,Tumori,tumori maligni-di cui melanomi maligni della cute,9.63853045,45.68012929,24,"(45.68012929, 9.63853045)"
2014,MONZA E DELLA BRIANZA,M,Tumori,tumori maligni-di cui tumori maligni dell'esofago,9.258430902,45.5823624,27,"(45.5823624, 9.258430902)"
