ANNO,CODICE_ATS_EROGAZIONE,DESCRIZIONE_ATS_EROGAZIONE,COORDINATA_GEOGRAFICA_X,COORDINATA_GEOGRAFICA_Y,POSIZIONE_ATS,CODICE_EROGATORE,DESCRIZIONE_EROGATORE,DESCRIZIONE_TIPOLOGIA_EROGATORE,DESCRIZIONE_TIPO_ENTE,CODICE_BRANCA,DESCRIZIONE_BRANCA,DESCRIZIONE_MACRO_TIPO,PRESTAZIONI_TOT
2014,30,REGIONE LOMBARDIA,,,,,,PUBBLICO,,211,OTORINOLARINGOIATRIA,ATTIVITA CLINICA,835218
2017,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",727,ASST DI PAVIA,PUBBLICO,ASST,261,ALTRO IN GENERE,MAC,19956
2017,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",727,ASST DI PAVIA,PUBBLICO,ASST,132,DIALISI,ATTIVITA CLINICA,48846
2017,30,REGIONE LOMBARDIA,,,,,,PUBBLICO,,113,IMMUNOEMATOLOGIA-TRASFUSIONALE,LABORATORIO,9747734
2017,30,REGIONE LOMBARDIA,,,,,,PUBBLICO,,112,CHIMICA CLINICA,LABORATORIO,29465653
2012,30,REGIONE LOMBARDIA,,,,,,PRIVATO,,131,NEFROLOGIA,ATTIVITA CLINICA,194013
2012,30,REGIONE LOMBARDIA,,,,,,PUBBLICO,,251,UROLOGIA,ATTIVITA CLINICA,339247
2012,30,REGIONE LOMBARDIA,,,,,,PRIVATO,,161,OCULISTICA,ATTIVITA CLINICA,834525
2012,325,ATS DI BERGAMO,9.63853045,45.68701679,"(45.68701679, 9.63853045)",718,ASST PAPA GIOVANNI XXIII,PUBBLICO,ASST,BIC,BIC,BIC,2574
2016,30,REGIONE LOMBARDIA,,,,,,PUBBLICO,,51,CHIRURGIA VASCOLARE  - ANGIOLOGIA,ATTIVITA CLINICA,83708
2016,30,REGIONE LOMBARDIA,,,,,,PRIVATO,,133,DIALISI IN REGIME DI RICOVERO,ATTIVITA CLINICA,4965
2016,30,REGIONE LOMBARDIA,,,,,,PUBBLICO,,131,NEFROLOGIA,ATTIVITA CLINICA,917144
2016,30,REGIONE LOMBARDIA,,,,,,PRIVATO,,241,RADIOTERAPIA,ATTIVITA CLINICA,253527
2013,30,REGIONE LOMBARDIA,,,,,,PUBBLICO,,151,NEUROLOGIA,ATTIVITA CLINICA,512911
2013,30,REGIONE LOMBARDIA,,,,,,PUBBLICO,,141,NEUROCHIRURGIA,ATTIVITA CLINICA,7534
2014,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",328,ATS DI PAVIA,PRIVATO,ATS,151,NEUROLOGIA,ATTIVITA CLINICA,5445
2014,30,REGIONE LOMBARDIA,,,,,,PRIVATO,,211,OTORINOLARINGOIATRIA,ATTIVITA CLINICA,294153
2014,30,REGIONE LOMBARDIA,,,,,,PUBBLICO,,221,PNEUMOLOGIA,ATTIVITA CLINICA,498329
2014,30,REGIONE LOMBARDIA,,,,,,PUBBLICO,,265,VISITA GENERALE,ATTIVITA CLINICA,401274
2014,30,REGIONE LOMBARDIA,,,,,,PRIVATO,,141,NEUROCHIRURGIA,ATTIVITA CLINICA,4277
2014,30,REGIONE LOMBARDIA,,,,,,PUBBLICO,,191,ORTOPEDIA E TRAUMATOLOGIA,ATTIVITA CLINICA,794336
2014,30,REGIONE LOMBARDIA,,,,,,PRIVATO,,31,CHIRURGIA GENERALE,ATTIVITA CLINICA,245231
2017,325,ATS DI BERGAMO,9.63853045,45.68701679,"(45.68701679, 9.63853045)",325,ATS DI BERGAMO,PRIVATO,ATS,BIC,BIC,BIC,14376
2014,325,ATS DI BERGAMO,9.63853045,45.68701679,"(45.68701679, 9.63853045)",719,ASST DI BERGAMO OVEST,PUBBLICO,ASST,BIC,BIC,BIC,2426
2013,325,ATS DI BERGAMO,9.63853045,45.68701679,"(45.68701679, 9.63853045)",719,ASST DI BERGAMO OVEST,PUBBLICO,ASST,181,ONCOLOGIA,ATTIVITA CLINICA,8069
2015,30,REGIONE LOMBARDIA,,,,,,PUBBLICO,,211,OTORINOLARINGOIATRIA,ATTIVITA CLINICA,812820
2016,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",924,POLICLINICO S. MATTEO - PV,PUBBLICO,IRCCS PUBBLICO,265,VISITA GENERALE,ATTIVITA CLINICA,20351
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",709,ASST DI LODI,PUBBLICO,ASST,101,GASTROENTEROLOGIA - CHIRURGIA ED ENDOSCOPIA DIGESTIVA,ATTIVITA CLINICA,8462
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",707,ASST NORD MILANO,PUBBLICO,ASST,31,CHIRURGIA GENERALE,ATTIVITA CLINICA,16739
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,"(45.1439181, 10.02604335)",726,ASST DI CREMA,PUBBLICO,ASST,191,ORTOPEDIA E TRAUMATOLOGIA,ATTIVITA CLINICA,9833
2016,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",939,ISTITUTO MONDINO - PAVIA,PRIVATO,IRCCS PRIVATO,263,CONSULTO COMPLESSIVO,ATTIVITA CLINICA,3
2017,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,PUBBLICO,ASST,BIC,BIC,BIC,3259
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",709,ASST DI LODI,PUBBLICO,ASST,161,OCULISTICA,ATTIVITA CLINICA,26948
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",936,OSPEDALE S. LUCA - MI,PRIVATO,IRCCS PRIVATO,101,GASTROENTEROLOGIA - CHIRURGIA ED ENDOSCOPIA DIGESTIVA,ATTIVITA CLINICA,2041
2017,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,"(45.80802245, 8.837196022)",711,ASST DELLA VALLE OLONA,PUBBLICO,ASST,82,DIAGNOSTICA PER IMMAGINI: INTERVENTISTICA,DIAGNOSTICA PER IMMAGINI,593
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",936,OSPEDALE S. LUCA - MI,PRIVATO,IRCCS PRIVATO,101,GASTROENTEROLOGIA - CHIRURGIA ED ENDOSCOPIA DIGESTIVA,ATTIVITA CLINICA,979
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",701,ASST GRANDE OSPEDALE METROPOLITANO NIGUARDA,PUBBLICO,ASST,41,CHIRURGIA PLASTICA,ATTIVITA CLINICA,6895
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",707,ASST NORD MILANO,PUBBLICO,ASST,101,GASTROENTEROLOGIA - CHIRURGIA ED ENDOSCOPIA DIGESTIVA,ATTIVITA CLINICA,8215
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",946,ISTITUTO ORTOPEDICO GALEAZZI SPA,PRIVATO,IRCCS PRIVATO,BIC,BIC,BIC,2785
