"Regione","Provincia","Comune","Codice Sito","Nome Sito","LONG ","LAT ","Data ","Ostreopsis cf. ovata cell/l","Ostreopsis cf. ovata cell/ g fw"
"Friuli Venezia Giulia","Trieste","Muggia","1161","Punta Sottile terrazza mare","13.721950","45.605550","6/22/2020","0","0"
"Friuli Venezia Giulia","Trieste","Muggia","1161","Punta Sottile terrazza mare","13.721950","45.605550","7/6/2020","0","0"
"Friuli Venezia Giulia","Trieste","Muggia","1161","Punta Sottile terrazza mare","13.721950","45.605550","7/20/2020","0","0"
"Friuli Venezia Giulia","Trieste","Muggia","1161","Punta Sottile terrazza mare","13.721950","45.605550","8/3/2020","0","0"
"Friuli Venezia Giulia","Trieste","Muggia","1161","Punta Sottile terrazza mare","13.721950","45.605550","8/24/2020","0","0"
"Friuli Venezia Giulia","Trieste","Muggia","1161","Punta Sottile terrazza mare","13.721950","45.605550","9/7/2020","0","0"
"Friuli Venezia Giulia","Trieste","Muggia","1161","Punta Sottile terrazza mare","13.721950","45.605550","9/21/2020","80","41"
"Friuli Venezia Giulia","Trieste","Trieste","1163","Barcola lungo mare","13.745717","45.686950","6/22/2020","0","0"
"Friuli Venezia Giulia","Trieste","Trieste","1163","Barcola lungo mare","13.745717","45.686950","7/6/2020","0","0"
"Friuli Venezia Giulia","Trieste","Trieste","1163","Barcola lungo mare","13.745717","45.686950","7/20/2020","0","0"
"Friuli Venezia Giulia","Trieste","Trieste","1163","Barcola lungo mare","13.745717","45.686950","8/3/2020","0","0"
"Friuli Venezia Giulia","Trieste","Trieste","1163","Barcola lungo mare","13.745717","45.686950","8/24/2020","0","7443"
"Friuli Venezia Giulia","Trieste","Trieste","1163","Barcola lungo mare","13.745717","45.686950","9/7/2020","2200","208236"
"Friuli Venezia Giulia","Trieste","Trieste","1163","Barcola lungo mare","13.745717","45.686950","9/21/2020","200","1512"
"Friuli Venezia Giulia","Trieste","Duino-Aurisina","1166","Canovella De'Zoppoli pozza di marea","13.655783","45.749650","6/22/2020","0","0"
"Friuli Venezia Giulia","Trieste","Duino-Aurisina","1166","Canovella De'Zoppoli pozza di marea","13.655783","45.749650","7/6/2020","0","0"
"Friuli Venezia Giulia","Trieste","Duino-Aurisina","1166","Canovella De'Zoppoli pozza di marea","13.655783","45.749650","7/20/2020","0","0"
"Friuli Venezia Giulia","Trieste","Duino-Aurisina","1166","Canovella De'Zoppoli pozza di marea","13.655783","45.749650","8/3/2020","0","0"
"Friuli Venezia Giulia","Trieste","Duino-Aurisina","1166","Canovella De'Zoppoli pozza di marea","13.655783","45.749650","8/24/2020","920","5271"
"Friuli Venezia Giulia","Trieste","Duino-Aurisina","1166","Canovella De'Zoppoli pozza di marea","13.655783","45.749650","9/7/2020","13600","97763"
"Friuli Venezia Giulia","Trieste","Duino-Aurisina","1166","Canovella De'Zoppoli pozza di marea","13.655783","45.749650","9/14/2020","30720","58829"
"Friuli Venezia Giulia","Trieste","Duino-Aurisina","1166","Canovella De'Zoppoli pozza di marea","13.655783","45.749650","9/21/2020","1040","4013"
"Friuli Venezia Giulia","Trieste","Duino-Aurisina","1167","Sistiana spiaggia","13.630800","45.767433","6/22/2020","0","0"
"Friuli Venezia Giulia","Trieste","Duino-Aurisina","1167","Sistiana spiaggia","13.630800","45.767433","7/6/2020","0","0"
"Friuli Venezia Giulia","Trieste","Duino-Aurisina","1167","Sistiana spiaggia","13.630800","45.767433","7/20/2020","0","0"
"Friuli Venezia Giulia","Trieste","Duino-Aurisina","1167","Sistiana spiaggia","13.630800","45.767433","8/3/2020","0","0"
"Friuli Venezia Giulia","Trieste","Duino-Aurisina","1167","Sistiana spiaggia","13.630800","45.767433","8/24/2020","0","0"
"Friuli Venezia Giulia","Trieste","Duino-Aurisina","1167","Sistiana spiaggia","13.630800","45.767433","9/7/2020","19720","4724"
"Friuli Venezia Giulia","Trieste","Duino-Aurisina","1167","Sistiana spiaggia","13.630800","45.767433","9/14/2020","160","1461"
"Friuli Venezia Giulia","Trieste","Duino-Aurisina","1167","Sistiana spiaggia","13.630800","45.767433","9/21/2020","40","92"
"Friuli Venezia Giulia","Trieste","Grignano","1164","Diga porto","14.206388888889","45.255555555556","9/14/2020","160","37462"
"Friuli Venezia Giulia","Trieste","Duino-Aurisina","1168","Diga porto","14.000277777778","45.209166666667","9/14/2020","40","26417"
