"Regione","Provincia","Comune","Codice Sito","Nome Sito","LONG ","LAT ","Data ","Ostreopsis cf. ovata cell/l","Ostreopsis cf. ovata cell/ g fw"
"Lazio","Roma","Civitavecchia","punto 407","Torre Sant'Agostino","11.733300","42.157000","6/3/2020","1220","/"
"Lazio","Roma","Civitavecchia","punto 407","Torre Sant'Agostino","11.733300","42.157000","7/7/2020","820","/"
"Lazio","Roma","Civitavecchia","punto 407","Torre Sant'Agostino","11.733300","42.157000","6/22/2020","200","/"
"Lazio","Roma","Civitavecchia","punto 407","Torre Sant'Agostino","11.733300","42.157000","7/21/2020","60","/"
"Lazio","Roma","Civitavecchia","punto 407","Torre Sant'Agostino","11.733300","42.157000","8/3/2020","1300","/"
"Lazio","Roma","Civitavecchia","punto 407","Torre Sant'Agostino","11.733300","42.157000","8/18/2020","80","/"
"Lazio","Roma","Civitavecchia","punto 407","Torre Sant'Agostino","11.733300","42.157000","9/1/2020","120","/"
"Lazio","Roma","Civitavecchia","punto 407","Torre Sant'Agostino","11.733300","42.157000","9/14/2020","1220","/"
"Lazio","Roma","Civitavecchia","punto 407","Torre Sant'Agostino","11.733300","42.157000","9/29/2020","620","/"
"Lazio","Roma","Civitavecchia","punto 29","Stab. Bagni Pirgo","11.799979","42.085900","6/3/2020","15580","/"
"Lazio","Roma","Civitavecchia","punto 29","Stab. Bagni Pirgo","11.799979","42.085900","6/9/2020","6960","/"
"Lazio","Roma","Civitavecchia","punto 29","Stab. Bagni Pirgo","11.799979","42.085900","7/7/2020","3780","/"
"Lazio","Roma","Civitavecchia","punto 29","Stab. Bagni Pirgo","11.799979","42.085900","6/22/2020","9780","/"
"Lazio","Roma","Civitavecchia","punto 29","Stab. Bagni Pirgo","11.799979","42.085900","7/21/2020","380","/"
"Lazio","Roma","Civitavecchia","punto 29","Stab. Bagni Pirgo","11.799979","42.085900","8/3/2020","260","/"
"Lazio","Roma","Civitavecchia","punto 29","Stab. Bagni Pirgo","11.799979","42.085900","8/18/2020","1880","/"
"Lazio","Roma","Civitavecchia","punto 29","Stab. Bagni Pirgo","11.799979","42.085900","9/1/2020","9740","/"
"Lazio","Roma","Civitavecchia","punto 29","Stab. Bagni Pirgo","11.799979","42.085900","9/14/2020","9140","/"
"Lazio","Roma","Civitavecchia","punto 29","Stab. Bagni Pirgo","11.799979","42.085900","9/29/2020","340","/"
"Lazio","Roma","Santa Marinella","punto 38","Capo Linaro","11.836800","42.028300","6/3/2020","640","/"
"Lazio","Roma","Santa Marinella","punto 38","Capo Linaro","11.836800","42.028300","7/7/2020","1980","/"
"Lazio","Roma","Santa Marinella","punto 38","Capo Linaro","11.836800","42.028300","6/22/2020","1740","/"
"Lazio","Roma","Santa Marinella","punto 38","Capo Linaro","11.836800","42.028300","7/21/2020","2660","/"
"Lazio","Roma","Santa Marinella","punto 38","Capo Linaro","11.836800","42.028300","8/3/2020","840","/"
"Lazio","Roma","Santa Marinella","punto 38","Capo Linaro","11.836800","42.028300","8/18/2020","420","/"
"Lazio","Roma","Santa Marinella","punto 38","Capo Linaro","11.836800","42.028300","9/1/2020","2820","/"
"Lazio","Roma","Santa Marinella","punto 38","Capo Linaro","11.836800","42.028300","9/14/2020","8720","/"
"Lazio","Roma","Santa Marinella","punto 38","Capo Linaro","11.836800","42.028300","9/29/2020","140","/"
"Lazio","Roma","Anzio","punto 128","350 m sx molo est di Anzio","12.630110","41.445639","6/8/2020","0","/"
"Lazio","Roma","Anzio","punto 128","350 m sx molo est di Anzio","12.630110","41.445639","7/3/2020","460","/"
"Lazio","Roma","Anzio","punto 128","350 m sx molo est di Anzio","12.630110","41.445639","6/23/2020","0","/"
"Lazio","Roma","Anzio","punto 128","350 m sx molo est di Anzio","12.630110","41.445639","7/17/2020","7120","/"
"Lazio","Roma","Anzio","punto 128","350 m sx molo est di Anzio","12.630110","41.445639","7/31/2020","180","/"
"Lazio","Roma","Anzio","punto 128","350 m sx molo est di Anzio","12.630110","41.445639","8/12/2020","1100","/"
"Lazio","Roma","Anzio","punto 128","350 m sx molo est di Anzio","12.630110","41.445639","8/25/2020","220","/"
"Lazio","Roma","Anzio","punto 128","350 m sx molo est di Anzio","12.630110","41.445639","9/17/2020","600","/"
"Lazio","Latina","San Felice Circeo","punto 162 (già 354) ","550 m sx Faro di Torre Cervia","13.062700","41.223300","6/16/2020","60","/"
"Lazio","Latina","San Felice Circeo","punto 162 (già 354) ","550 m sx Faro di Torre Cervia","13.062700","41.223300","7/2/2020","360","/"
"Lazio","Latina","San Felice Circeo","punto 162 (già 354) ","550 m sx Faro di Torre Cervia","13.062700","41.223300","7/23/2020","18780","106873"
"Lazio","Latina","San Felice Circeo","punto 162 (già 354) ","550 m sx Faro di Torre Cervia","13.062700","41.223300","7/29/2020","11780","79948"
"Lazio","Latina","San Felice Circeo","punto 162 (già 354) ","550 m sx Faro di Torre Cervia","13.062700","41.223300","7/15/2020","10900","/"
"Lazio","Latina","San Felice Circeo","punto 162 (già 354) ","550 m sx Faro di Torre Cervia","13.062700","41.223300","8/6/2020","1060","144561"
"Lazio","Latina","San Felice Circeo","punto 162 (già 354) ","550 m sx Faro di Torre Cervia","13.062700","41.223300","8/17/2020","920","/"
"Lazio","Latina","San Felice Circeo","punto 162 (già 354) ","550 m sx Faro di Torre Cervia","13.062700","41.223300","8/21/2020","180","/"
"Lazio","Latina","San Felice Circeo","punto 162 (già 354) ","550 m sx Faro di Torre Cervia","13.062700","41.223300","8/31/2020","160","/"
"Lazio","Latina","San Felice Circeo","punto 162 (già 354) ","550 m sx Faro di Torre Cervia","13.062700","41.223300","9/16/2020","560","/"
"Lazio","Latina","San Felice Circeo","punto 176","Colonia marina","13.118900","41.248400","6/16/2020","20","/"
"Lazio","Latina","San Felice Circeo","punto 176","Colonia marina","13.118900","41.248400","7/2/2020","100","/"
"Lazio","Latina","San Felice Circeo","punto 176","Colonia marina","13.118900","41.248400","7/29/2020","5220","/"
"Lazio","Latina","San Felice Circeo","punto 176","Colonia marina","13.118900","41.248400","7/15/2020","20","/"
"Lazio","Latina","San Felice Circeo","punto 176","Colonia marina","13.118900","41.248400","8/17/2020","600","/"
"Lazio","Latina","San Felice Circeo","punto 176","Colonia marina","13.118900","41.248400","8/31/2020","120","/"
"Lazio","Latina","San Felice Circeo","punto 176","Colonia marina","13.118900","41.248400","9/16/2020","60","/"
"Lazio","Latina","Terracina","punto 360 (già 193) ","Fosso Acque Alte","13.274800","41.295400","6/16/2020","60","/"
"Lazio","Latina","Terracina","punto 360 (già 193) ","Fosso Acque Alte","13.274800","41.295400","7/2/2020","0","/"
"Lazio","Latina","Terracina","punto 360 (già 193) ","Fosso Acque Alte","13.274800","41.295400","7/15/2020","160","/"
"Lazio","Latina","Terracina","punto 360 (già 193) ","Fosso Acque Alte","13.274800","41.295400","7/29/2020","20","/"
