cod_cas,nom_sost,nom_sost_ing
60-57-1,Dieldrin,Dieldrin
17778-88-0,Azoto Totale,
40487-42-1,Pendimetalin,"N-(1-ethylpropyl)-2,6-dinitro-3,4-xylidine"
57465-28-8,PCB 126,
2921-88-2,Clorpirifos,Chlorpyrifos
81406-37-3,Fluroxipir,"1-methylheptyl [(4-amino-3,5-dichloro-6-fluoropyridin-2-yl)oxy]acetate"
205-99-2,Benzo (b) fluorantene,Benzo[e]acephenanthrylene
72-20-8,Endrin,Endrin
14797-55-8,Azoto nitrico,
69782-90-7,PCB 157,
50-28-2,17-beta-estradiolo,Estradiol
2032-65-7,Metiocarb,Mercaptodimethur
52663-72-6,PCB 167,
26787-78-0,Amoxicillina,Amoxicillin
85721-33-1,Ciprofloxacina,
67562-39-4,"1,2,3,4,6,7,8 HpCDF",
72-55-9,"4,4'-DDE","2,2-bis(p-chlorophenyl)-1,1-dichloroethylene"
39227-28-6,"1,2,3,4,7,8 HxCDD",
57-74-9,Chlordano Totale,"Chlordane , pur"
95-81-8,2-cloro-5-metilanilina,6-chloro-m-toluidine
31508-00-6,PCB 118,
35065-27-1,PCB 153,
14797-65-0,Azoto nitroso,
74472-37-0,PCB 114,
15307-86-5,Diclofenac,Diclofenac
52663-68-0,PCB 187,
70362-50-4,PCB 81,
1007-28-9,Atrazina-desisopropil,
85760-74-3,PCB 128,
1582-09-8,Trifluralin,Trifluralin
7786-34-7,Mevinfos,Mevinphos
53-19-0,"o,p'-DDD",Mitotane
38380-08-4,PCB 156,
121-69-7,"n,n-dimetilanilina","N,N-dimethylaniline"
7287-19-6,Prometrina,Prometryn
6190-65-4,Atrazina-desetil,
32598-13-3,PCB 77,
35693-99-3,PCB 52,
99105-77-8,Sulcotrione,
27304-13-8,Oxychlordano,
91-59-8,2-Naftilammina,2-naphthylamine
76-44-8,Eptacloro,Heptachlor
3424-82-6,"o,p-DDE","2,2,o,p'-tetrachlorovinylidenebisbenzene"
16984-48-8,Fluoruri,
72918-21-9,"1,2,3,7,8,9 HxCDF",
959-98-8,Endosulfan alfa,
74070-46-5,Aclonifen,2-chloro-6-nitro-3-phenoxyaniline
72-54-8,"4,4'-DDD",TDE
207-08-9,Benzo (k) fluorantene,Benzo[k]fluoranthene
81777-89-1,Clomazone,
51218-45-2,Metolachlor,2-chloro-2'-ethyl-N-(2-methoxy-1-methylethyl)-6'-methylacetanilide
33213-65-9,Endosulfan beta,
2275-18-5,Protoate,Prothoate
301-12-2,Oxydemeton-metile,Oxydemeton-methyl
128-37-0,"2,6-di-terz-butil-4-metilfenolo (BHT)","2,6-di-tert-butyl-p-cresol"
191-24-2,"Benzo (g,h,i) perilene",Benzo[ghi]perylene
3268-87-9,OCDD,
57117-41-6,"1,2,3,7,8 PeCDF",
21087-64-9,Metribuzin,Metribuzin
21725-46-2,Cianazina,Cyanazine
66246-88-6,Penconazolo,"1-[2-(2,4-dichlorophenyl)pentyl]-1H-1,2,4-triazole"
37680-73-2,PCB 101,
39635-31-9,PCB 189,
60851-34-5,"2,3,4,6,7,8 HxCDF",
29490-19-5,M.Mt.T.D.,"5-methyl-1,3,4-thiadiazole-2(3H)-thione"
32598-14-4,PCB 105,
19666-30-9,Oxadiazon,"3-[2,4-dichloro-5-(1-methylethoxy)phenyl]-5-(1,1-dimethylethyl)-1,3,4-oxadiazol-2(3H)-one"
115-29-7,Endosulfan (isomeri alfa e beta),Endosulfan
28249-77-6,Thiobencarb,S-4-chlorobenzyl diethylthiocarbamate
5103-71-9,Clordano cis,"(1?,2?,3a?,4?,7?,7a?)-1,2,4,5,6,7,8,8-octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene"
23103-98-2,Pirimicarb,Pirimicarb
35065-28-2,PCB 138,
834-12-8,Ametrina,Ametryn
2303-17-5,Triallate,Tri-allate
1918-00-9,Dicamba,Dicamba
114-07-8,Eritromicina,Erythromycin
2212-67-1,Molinate,Molinate
23564-05-8,Tiofanato metile,Thiophanate-methyl
7440-41-7,Berillio,Beryllium
38380-04-0,PCB 149,
961-11-5,Tetraclorvinfos,"2-chloro-1-(2,4,5-trichlorophenyl)vinyl dimethyl phosphate"
34256-82-1,Acetocloro,2-chloro-N-(ethoxymethyl)-N-(2-ethyl-6-methylphenyl)acetamide
789-02-6,"o,p'-DDT","2,2,2,o,p'-pentachloroethylidenebisbenzene"
115-32-2,Dicofol,Dicofol
7012-37-5,PCB 28,"2,4,4'-trichlorobiphenyl"
38380-03-9,PCB 110,
65510-44-3,PCB 123,
12185-15-8,Solfuri,
35065-29-3,PCB 180,
10265-92-6,"Metamidofos (trifosforamidato di O,S- dimetile)",Methamidophos
35065-30-6,PCB 170,
40321-76-4,"1,2,3,7,8 PeCDD",
886-50-0,Terbutrina,Terbutryn
