LAGO,IDWIKIDATA,IDDBPEDIA
ALSERIO,Q1110115,
ANNONE EST,Q63172,
ANNONE OVEST,Q63172,
COMABBIO,Q1094718,
COMO,Q15523,Lake_Como
DI MEZZOLA,Q1502960,
DI PIANO,Q1131376,Lago_di_Piano
ENDINE,Q917288,
GARDA,Q6414,Lake_Garda
GANNA,Q1089655,
GARLATE,Q63161,
GHIRLA,Q1081290,Lago_di_Ghirla
IDRO,Q63148,Lake_Idro
IDROSCALO,,
ISEO,Q15648,Lake_Iseo
LUGANO,Q14418,Lake_Lugano
MAGGIORE,Q14379,Lake_Maggiore
MANTOVA DI MEZZO,,
MANTOVA INFERIORE,,
MANTOVA SUPERIORE,,
MONATE,Q2259119,Lago_di_Monate
MONTORFANO,Q3825985,
PALABIONE,,
PALÙ,Q62027816,
POZZO DI RIVA,,
PUSIANO,Q63177,
SARTIRANA,Q2323272,
SEGRINO,Q3825864,Lago_del_Segrino
TRUZZO,Q98803977,
VARESE,Q47477245,Lake_Varese
