"bacino_idrografico","corso_d_acqua","corpo_idrico"
"MELLA","Mella (Fiume)","IT03N0080600083LO"
"OLONA-LAMBRO MERIDIONALE","Vellone (Torrente)","IT03N00804400201A1LO"
"BREMBO","Dordo (Torrente)","IT03N008001006422LO"
"Po","Olona Meridionale (Fiume)","IT03N0080612LO"
"SERIO","Zerra (Torrente)","IT03N0083290010101012LO"
"MINCIO","Seriola Marchionale (Canale)","IT03POMI3OSMACA1LO"
"ADDA PRELACUALE","Saiento (Torrente)","IT03N0080010731LO"
"LAGO DI COMO (LARIO)","Faloppia (Torrente)","IT03N00800105501121IN"
"OGLIO SOPRALACUALE","Trobiolo (Torrente)","IT03N0080600171LO"
"OGLIO SUBLACUALE","Seriola Nuova di Chiari (Canale)","IT03POOG3NUCA1LO"
"OGLIO SOPRALACUALE","Ogliolo di Monno (Torrente)","IT03N0080600221LO"
"LAMBRO","Lambro (Fiume)","IT03N0080444LO"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080011LO"
"ADDA PRELACUALE","Frodolfo (Torrente)","IT03N0080010101LO"
"BREMBO","Enna (Torrente)","IT03N008001006031LO"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO"
"ADDA PRELACUALE","Valle di Aprica (Torrente)","IT03N008001003011LO"
"MELLA","Gambidolo (Torrente)","IT03N008060008071LO"
"OGLIO SUBLACUALE","Oglio (Fiume)","IT03N0080606BLO"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800110LO"
"ADDA PRELACUALE","Poschiavino (Torrente)","IT03N0080010201LO"
"LAGO DI COMO (LARIO)","Varrone (Torrente)","IT03N0080010273LO"
"OGLIO SOPRALACUALE","Gleno (Torrente)","IT03N008060005081LO"
"TICINO SUBLACUALE","Lenza (Torrente)","IT03N0080980191LO"
"CHIESE SUBLACUALE","Vendra di Vallio (Torrente)","IT03N008060004101LO"
"MINCIO","Osone Vecchio (Cavo)","IT03POMI3OSCA1LO"
"LAMBRO","Sillaro Salerano","IT03N0080440441LO"
"Po","Il Riolo (Canale)","IT03N0083541LO"
"LAGO DI LUGANO (CERESIO)","Telo di Osteno (Torrente)","IT03N00809803505071LO"
"LAMBRO","Lambro (Fiume)","IT03N0080442LO"
"LAGO D'ISEO (SEBINO)","Valle di Rino (Torrente)","IT03N0080600811LO"
"ADDA SUBLACUALE","La Molgora (Torrente)","IT03N008001191012LO"
"OGLIO SUBLACUALE","Bolgare (Roggia)","IT03POOG3CE3BOCA1LO"
"OGLIO SOPRALACUALE","Oglio (Fiume)","IT03N0080604LO"
"Po","Staffora (Torrente)","IT03N0080881IR"
"SEVESO","Terrò (Torrente)","IT03N00800109101011LO"
"MINCIO","Mincio (Fiume)","IT03N0080567LO"
"Po","Ghiaia di Montalto (Torrente)","IT03N0080220011LO"
"OGLIO SUBLACUALE","Vescovada (Roggia)","IT03POOG3VECA1LO"
"FISSERO-TARTARO","Derbasco (Canale)","ITARW01FI05100010LO"
"TICINO SUBLACUALE","Arno (Torrente)","IT03N008001A1LO"
"OGLIO SUBLACUALE","Rillo (Torrente)","IT03N008060003A1LO"
"MELLA","Mella (Fiume)","IT03N0080600081LO"
"LAMBRO","Bova (Torrente)","IT03N0080440071LO"
"BREMBO","Brembilla (Roggia)","IT03POAD3BRBMCLO"
"TICINO SUBLACUALE","Scolmatore Piene Nord - Ovest (Canale)","IT03POTI3SNCA1LO"
"ADDA SUBLACUALE","Muzza (Colatore)","IT03POAD3MUCA1LO"
"MELLA","Mella (Fiume)","IT03N0080600082LO"
"OGLIO SUBLACUALE","Seriola Fusia (Roggia)","IT03POOG3FUCA1LO"
"OGLIO SUBLACUALE","Naviglio S. Zeno (Canale) - Naviglio Inferiore di Isorella (Canale) - Naviglio di Canneto (Canale)","IT03POOG3NICA1LO"
"Po","Reale (Colatore) - Divisa (Colatore)","IT03N0082821LO"
"Po","Po (Fiume)","ITIRN00814IR"
"OGLIO SUBLACUALE","Dugale Casumenta (Canale)","IT03POOG3NACA1LO"
"OGLIO SUBLACUALE","Laghetto (Colatore)","IT03POOG3MACLCA1LO"
"OGLIO SUBLACUALE","Oglio (Fiume)","IT03N0080606LO"
"SERIO","Morla (Torrente)","IT03N0080010232501012LO"
"Po","Terdoppio (Torrente)","IT03N0080961IR"
"LAGO DI COMO (LARIO)","Pioverna (Torrente)","IT03N0080010192LO"
"Po","Morbasco (Colatore)","IT03POMBCA1LO"
"LAGO DI COMO (LARIO)","Caldone (Torrente)","IT03N0080011621LO"
"SERIO","Serio (Fiume)","IT03N0080010238LO"
"SERIO","Serio (Fiume)","IT03N0080010235LO"
"MELLA","Gombiera (Torrente)","IT03N008060008021LO"
"BREMBO","Brembo di Carona (Fiume)","IT03N0080010062LO"
"LAGO DI COMO (LARIO)","Varrone (Torrente)","IT03N0080010272LO"
