CODE,PARAMETER,PARAMETER_EN
71-52-3,Alcalinità,Alkalinity
20001,Durezza (totale),Hardness (total)
12408-02-5,pH,pH
10062,Trasparenza (disco di Secchi),Transparency (Secchi disk)
10313,COD,COD
CAM-PRT-0,Portata,Flow rate
CHM-MP-XIL,m+p-Xilene,m+p-Xilene
7440-02-0-BIO,Nichel biodisponibile,
7439-92-1-BIO,Piombo biodisponibile,
CAM-PRF-0,Profondità,Depth
CHM-IPA-0,Idrocarburi policiclici aromatici,
CHM-TNS-N0,Tensioattivi non ionici,
72-54-8-SUM,DDD,DDD
72-55-9-SUM,DDE,DDE
CHM-TEST-NITR,Rapporto Nitrati-Nitriti,
CHM-TTC-0,Somma tricloroetilene + tetracloroetilene,
CHM-TRIA-MET,Sommatoria Trialometani,
CHM-DDT-TOT-RICALC,DDT totale,
CHM-DDT-TOT,DDT totale (DM 6 luglio 2016),
CHM-ANTIP-TOT,Pesticidi totali,
CHM-POL-ARO,Sommatoria Idrocarburi Policiclici Aromatici,
CHM-HC-TOT,Idrocarburi tot. (espressi come n-esano),
ALT-00-0,Altezza idrometrica,Hydrometric height
10050,Solidi sedimentabili,Settleable solids
CHM-ANT-1,"Sommatoria (aldrin,dieldrin,endrin,isodrin)",
CHM-DDEDDD-DDT,"Sommatoria DDD,DDT,DDE",
CHM-PST-TT0,sommatoria fitofarmaci,
10160,Temperatura (alla fonte),
CHM-SLV-AL0,Sommatoria organoalogenati,
CHM-HC-C10-C40,"Idrocarburi C10-C40",
CHM-HC-C5-C10,Idrocarburi C5-C10,
CHM-HCnE-TOT,Idrocarburi totali (espressi n-esano),
CHM-PCDD-DF,"Sommatoria PCDD, PCDF",
CHM-HC-C1-C12,Idrocarburi C<12 (espressi come n-esano),
CHM-PCB-0,"PCB sommatoria",
10205,Conducibilità elettrica a 25°C,
10166,Temperatura (alla fonte),
