Regione;Provincia;Comune;Codice Sito;Nome Sito;LONG;LAT;Data;Ostreopsis cf. ovata cell/l;Ostreopsis cf. ovata cell/ g fw;Istatcode;Seaname
Abruzzo;Teramo;Martinsicuro;IT013067047007;25 m a sud del porticciolo;13.9207;42.8904;2018-06-11;0.0;0;067047;Adriatic Sea
Abruzzo;Teramo;Martinsicuro;IT013067047007;25 m a sud del porticciolo;13.9207;42.8904;2018-06-12;0.0;0;067047;Adriatic Sea
Abruzzo;Teramo;Martinsicuro;IT013067047007;25 m a sud del porticciolo;13.9207;42.8904;2018-06-13;0.0;0;067047;Adriatic Sea
Abruzzo;Teramo;Martinsicuro;IT013067047007;25 m a sud del porticciolo;13.9207;42.8904;2018-07-09;0.0;0;067047;Adriatic Sea
Abruzzo;Teramo;Martinsicuro;IT013067047007;25 m a sud del porticciolo;13.9207;42.8904;2018-07-10;0.0;0;067047;Adriatic Sea
Abruzzo;Teramo;Martinsicuro;IT013067047007;25 m a sud del porticciolo;13.9207;42.8904;2018-07-11;0.0;0;067047;Adriatic Sea
Abruzzo;Teramo;Martinsicuro;IT013067047007;25 m a sud del porticciolo;13.9207;42.8904;2018-08-06;0.0;0;067047;Adriatic Sea
Abruzzo;Teramo;Martinsicuro;IT013067047007;25 m a sud del porticciolo;13.9207;42.8904;2018-08-07;0.0;0;067047;Adriatic Sea
Abruzzo;Teramo;Martinsicuro;IT013067047007;25 m a sud del porticciolo;13.9207;42.8904;2018-08-08;0.0;0;067047;Adriatic Sea
Abruzzo;Teramo;Martinsicuro;IT013067047007;25 m a sud del porticciolo;13.9207;42.8904;2018-09-03;0.0;0;067047;Adriatic Sea
Abruzzo;Teramo;Martinsicuro;IT013067047007;25 m a sud del porticciolo;13.9207;42.8904;2018-09-04;0.0;0;067047;Adriatic Sea
Abruzzo;Teramo;Martinsicuro;IT013067047007;25 m a sud del porticciolo;13.9207;42.8904;2018-09-05;0.0;0;067047;Adriatic Sea
Abruzzo;Teramo;Alba Adriatica;IT013067001001;Zona antistante Via Sardegna;13.9362;42.8266;2018-06-11;0.0;0;067001;Adriatic Sea
Abruzzo;Teramo;Alba Adriatica;IT013067001001;Zona antistante Via Sardegna;13.9362;42.8266;2018-06-12;0.0;0;067001;Adriatic Sea
