Data,Comune di prelievo,Provincia,Parametro,Unita di misura,Valore testuale,Unita di misura testuale,Segno,Valore numerico
2020-07-24 00:00:00,SERIATE,BG,RN-222,bq/l,"<1,6",becquerel per litro,<,"1,6"
2020-07-24 00:00:00,SERIATE,BG,T-ALFA,bq/l,"<0,017",becquerel per litro,<,"0,017"
2020-07-24 00:00:00,SERIATE,BG,T-BETA,bq/l,"<0,13",becquerel per litro,<,"0,13"
2020-07-24 00:00:00,TREVIGLIO,BG,RN-222,bq/l,23.2,becquerel per litro,,23.2
2020-07-24 00:00:00,TREVIGLIO,BG,T-ALFA,bq/l,0.041,becquerel per litro,,0.041
2020-07-24 00:00:00,TREVIGLIO,BG,T-BETA,bq/l,"<0,13",becquerel per litro,<,"0,13"
2020-07-14 10:00:00,DESENZANO DEL GARDA,BS,RN-222,bq/l,4.1,becquerel per litro,,4.1
2020-07-14 10:00:00,DESENZANO DEL GARDA,BS,T-ALFA,bq/l,0.03,becquerel per litro,,0.03
2020-07-14 10:00:00,DESENZANO DEL GARDA,BS,T-BETA,bq/l,0.167,becquerel per litro,,0.167
2020-07-14 10:45:00,MONTICHIARI,BS,RN-222,bq/l,15,becquerel per litro,,15
2020-07-14 10:45:00,MONTICHIARI,BS,T-ALFA,bq/l,0.065,becquerel per litro,,0.065
2020-07-14 10:45:00,MONTICHIARI,BS,T-BETA,bq/l,0.285,becquerel per litro,,0.285
2020-07-14 11:30:00,PONCARALE,BS,RN-222,bq/l,15.4,becquerel per litro,,15.4
2020-07-14 11:30:00,PONCARALE,BS,T-ALFA,bq/l,0.053,becquerel per litro,,0.053
2020-07-14 11:30:00,PONCARALE,BS,T-BETA,bq/l,"<0,14",becquerel per litro,<,"0,14"
2020-02-18 10:30:00,ROVELLO PORRO,CO,CS-137,bq/l,"<0,014",becquerel per litro,<,"0,014"
2020-06-16 09:00:00,CASTELGERUNDO,LO,RN-222,bq/l,4.8,becquerel per litro,,4.8
2020-06-16 09:00:00,CASTELGERUNDO,LO,T-ALFA,bq/l,0.041,becquerel per litro,,0.041
2020-06-16 09:00:00,CASTELGERUNDO,LO,T-BETA,bq/l,"<0,096",becquerel per litro,<,"0,096"
2020-10-13 09:00:00,CASTELGERUNDO,LO,H-3,bq/l,"<6,6",becquerel per litro,<,"6,6"
2020-10-13 09:00:00,CASTELGERUNDO,LO,RN-222,bq/l,0.94,becquerel per litro,,0.94
2020-10-13 09:00:00,CASTELGERUNDO,LO,T-ALFA,bq/l,"<0,013",becquerel per litro,<,"0,013"
2020-10-13 09:00:00,CASTELGERUNDO,LO,T-BETA,bq/l,0.142,becquerel per litro,,0.142
2020-10-13 09:00:00,CASTELGERUNDO,LO,RN-222,bq/l,"<0,9",becquerel per litro,<,"0,9"
2020-06-10 09:00:00,LODI,LO,RN-222,bq/l,22,becquerel per litro,,22
2020-06-10 09:00:00,LODI,LO,T-ALFA,bq/l,0.071,becquerel per litro,,0.071
2020-06-10 09:00:00,LODI,LO,T-BETA,bq/l,"<0,14",becquerel per litro,<,"0,14"
2020-10-13 09:00:00,LODI,LO,RN-222,bq/l,16.4,becquerel per litro,,16.4
2020-10-13 09:00:00,LODI,LO,T-ALFA,bq/l,0.087,becquerel per litro,,0.087
2020-10-13 09:00:00,LODI,LO,T-BETA,bq/l,"<0,12",becquerel per litro,<,"0,12"
2020-11-11 00:00:00,ARCORE,MB,RN-222,bq/l,11.2,becquerel per litro,,11.2
2020-11-11 00:00:00,ARCORE,MB,T-ALFA,bq/l,0.038,becquerel per litro,,0.038
2020-11-11 00:00:00,ARCORE,MB,T-BETA,bq/l,"<0,15",becquerel per litro,<,"0,15"
2020-11-11 00:00:00,BRUGHERIO,MB,RN-222,bq/l,9.5,becquerel per litro,,9.5
2020-11-11 00:00:00,BRUGHERIO,MB,T-ALFA,bq/l,0.045,becquerel per litro,,0.045
2020-11-11 00:00:00,BRUGHERIO,MB,T-BETA,bq/l,"<0,14",becquerel per litro,<,"0,14"
2020-11-11 00:00:00,CESANO MADERNO,MB,RA-226,bq/l,"<0,0035",becquerel per litro,<,"0,0035"
2020-11-11 00:00:00,CESANO MADERNO,MB,RN-222,bq/l,16.9,becquerel per litro,,16.9
2020-11-11 00:00:00,CESANO MADERNO,MB,T-ALFA,bq/l,0.194,becquerel per litro,,0.194
2020-11-11 00:00:00,CESANO MADERNO,MB,T-BETA,bq/l,0.164,becquerel per litro,,0.164
2020-11-11 00:00:00,CESANO MADERNO,MB,T-U,bq/l,0.187,becquerel per litro,,0.187
2020-11-11 00:00:00,CESANO MADERNO,MB,U-234,bq/l,0.105,becquerel per litro,,0.105
2020-11-11 00:00:00,CESANO MADERNO,MB,U-238,bq/l,0.0823,becquerel per litro,,0.0823
2020-11-11 00:00:00,CESANO MADERNO,MB,T-ALFA,bq/l,0.229,becquerel per litro,,0.229
2020-11-11 00:00:00,CESANO MADERNO,MB,T-BETA,bq/l,0.172,becquerel per litro,,0.172
2020-11-11 00:00:00,DESIO,MB,RA-226,bq/l,"<0,0034",becquerel per litro,<,"0,0034"
2020-11-11 00:00:00,DESIO,MB,RN-222,bq/l,12.9,becquerel per litro,,12.9
2020-11-11 00:00:00,DESIO,MB,T-ALFA,bq/l,0.117,becquerel per litro,,0.117
2020-11-11 00:00:00,DESIO,MB,T-BETA,bq/l,"<0,15",becquerel per litro,<,"0,15"
2020-11-11 00:00:00,DESIO,MB,T-U,bq/l,0.121,becquerel per litro,,0.121
2020-11-11 00:00:00,DESIO,MB,U-234,bq/l,0.0715,becquerel per litro,,0.0715
2020-11-11 00:00:00,DESIO,MB,U-238,bq/l,0.0495,becquerel per litro,,0.0495
2020-11-11 00:00:00,GIUSSANO,MB,RN-222,bq/l,27,becquerel per litro,,27
2020-11-11 00:00:00,GIUSSANO,MB,T-ALFA,bq/l,0.05,becquerel per litro,,0.05
2020-11-11 00:00:00,GIUSSANO,MB,T-BETA,bq/l,"<0,13",becquerel per litro,<,"0,13"
2020-11-11 00:00:00,LIMBIATE,MB,RA-226,bq/l,"<0,0042",becquerel per litro,<,"0,0042"
2020-11-11 00:00:00,LIMBIATE,MB,RN-222,bq/l,11,becquerel per litro,,11
2020-11-11 00:00:00,LIMBIATE,MB,T-ALFA,bq/l,0.106,becquerel per litro,,0.106
2020-11-11 00:00:00,LIMBIATE,MB,T-BETA,bq/l,"<0,14",becquerel per litro,<,"0,14"
2020-11-11 00:00:00,LIMBIATE,MB,T-U,bq/l,0.0893,becquerel per litro,,0.0893
2020-11-11 00:00:00,LIMBIATE,MB,U-234,bq/l,0.0507,becquerel per litro,,0.0507
2020-11-11 00:00:00,LIMBIATE,MB,U-238,bq/l,0.0386,becquerel per litro,,0.0386
