bacino_idrografico,lago,provincia,comune,coord_x,coord_y,tipo_di_monitoraggio,trasparenza_(media_annua),oss_ipolimico_(media_ponderata_nell_ipolimnio_a_fine_periodo_di_stratificazione),p_tot_(media_ponderata_sulla_colonna_in_max_circolazione),classe,anno
Lambro - Olona Meridionale,Alserio,CO,Monguzzo,516781,5070390,operativo,2.10,41,26,SUFFICIENTE,2018
Adda,Annone Est,LC,Civate,527173,5072980,operativo,2.60,77,29,SUFFICIENTE,2018
Adda,Annone ovest,LC,Civate,525973,5073780,operativo,1.90,25,27,SUFFICIENTE,2018
Ticino,Comabbio,VA,Varano Borghi,476034,5067740,operativo,3.20,32,21,BUONO,2018
Adda,Como,CO,Como,506024,5075040,operativo,4.30,70,28,SUFFICIENTE,2018
Adda,Como,CO,Argegno,510784,5085544,operativo,5.70,36,56,SUFFICIENTE,2018
Adda,Como,LC,Dervio,522274,5101979,operativo,7.00,84,18,BUONO,2018
Adda,Como,CO,Abbadia Lariana,524973,5082980,operativo,6.30,70,32,SUFFICIENTE,2018
Spol,del Gallo,SO,Livigno,588673,5157677,sorveglianza,-,-,-,-,2018
Oglio,Endine,BG,Endine Gaiano,573578,5070552,sorveglianza,2.90,45,11,BUONO,2018
Ticino,Ganna,VA,Valganna,486524,5082660,sorveglianza,2.10,115,6,BUONO,2018
Adda,Garlate,LC,Lecco,531673,5073980,operativo,5.30,10,22,SUFFICIENTE,2018
Ticino,Ghirla,VA,Valganna,486324,5084480,operativo,4.20,2,10,BUONO,2018
Oglio,Idro,BS,Anfo,617507,5070348,operativo,3.00,6,189,SUFFICIENTE,2018
Lambro - Olona Meridionale,Idroscalo,MI,Segrate,522574,5034534,sorveglianza,2.50,110,9,BUONO,2018
Oglio,Iseo,BS,Monte Isola,583750,5060289,operativo,3.00,6,119,SUFFICIENTE,2018
Ticino,Lugano,VA,Lavena – Ponte Tresa,489394,5089980,operativo,3.90,42,7,SUFFICIENTE,2018
Ticino,Lugano,CO,Claino con Osteno,506017,5096017,operativo,6.00,11,93,SUFFICIENTE,2018
Ticino,Lugano,VA,Porto Ceresio,492473,5083960,operativo,4.80,32,37,SUFFICIENTE,2018
Ticino,Maggiore,VA,Ghiffa,471000,5090000,sorveglianza,7.10,45,12,BUONO,2018
Sarca - Mincio,Mantova di Mezzo,MN,Mantova,641701,5002580,operativo,1.00,81,75,SUFFICIENTE,2018
Sarca - Mincio,Mantova Inferiore,MN,Mantova,642191,5000930,operativo,0.90,92,100,SUFFICIENTE,2018
Sarca - Mincio,Mantova Superiore,MN,Mantova,639041,5002500,operativo,1.20,64,82,SUFFICIENTE,2018
Adda,Mezzola,SO,Verceia,533774,5116679,operativo,2.90,55,12,BUONO,2018
