lago,punto,codice_comune,zero_idrometrico,altezza,unit_di_misura_altezza,zero_idrometrico_unit_di_misura,periodo,anno,zero_idrometrico_unit_di_misura_testuale
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.16,cm,mslm,2019-01-01,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.15,cm,mslm,2019-01-02,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.12,cm,mslm,2019-01-03,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.11,cm,mslm,2019-01-04,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.08,cm,mslm,2019-01-05,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.05,cm,mslm,2019-01-06,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.04,cm,mslm,2019-01-07,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.03,cm,mslm,2019-01-08,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.03,cm,mslm,2019-01-09,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.04,cm,mslm,2019-01-10,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.99,cm,mslm,2019-01-11,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.96,cm,mslm,2019-01-12,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.93,cm,mslm,2019-01-13,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.91,cm,mslm,2019-01-14,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.91,cm,mslm,2019-01-15,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.9,cm,mslm,2019-01-16,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.89,cm,mslm,2019-01-17,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.88,cm,mslm,2019-01-18,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.85,cm,mslm,2019-01-19,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.82,cm,mslm,2019-01-20,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.81,cm,mslm,2019-01-21,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.81,cm,mslm,2019-01-22,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.81,cm,mslm,2019-01-23,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.8,cm,mslm,2019-01-24,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.78,cm,mslm,2019-01-25,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.76,cm,mslm,2019-01-26,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.71,cm,mslm,2019-01-27,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.69,cm,mslm,2019-01-28,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.67,cm,mslm,2019-01-29,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.66,cm,mslm,2019-01-30,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.62,cm,mslm,2019-01-31,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.67,cm,mslm,2019-02-01,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.64,cm,mslm,2019-02-02,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.61,cm,mslm,2019-02-03,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.59,cm,mslm,2019-02-04,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.57,cm,mslm,2019-02-05,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.56,cm,mslm,2019-02-06,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.55,cm,mslm,2019-02-07,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.53,cm,mslm,2019-02-08,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.5,cm,mslm,2019-02-09,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.48,cm,mslm,2019-02-10,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.46,cm,mslm,2019-02-11,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.45,cm,mslm,2019-02-12,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.43,cm,mslm,2019-02-13,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.42,cm,mslm,2019-02-14,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.4,cm,mslm,2019-02-15,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.37,cm,mslm,2019-02-16,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.34,cm,mslm,2019-02-17,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.32,cm,mslm,2019-02-18,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.3,cm,mslm,2019-02-19,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.29,cm,mslm,2019-02-20,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.28,cm,mslm,2019-02-21,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.28,cm,mslm,2019-02-22,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.25,cm,mslm,2019-02-23,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.23,cm,mslm,2019-02-24,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.23,cm,mslm,2019-02-25,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.22,cm,mslm,2019-02-26,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.2,cm,mslm,2019-02-27,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.21,cm,mslm,2019-02-28,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.19,cm,mslm,2019-03-01,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.16,cm,mslm,2019-03-02,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.14,cm,mslm,2019-03-03,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.13,cm,mslm,2019-03-04,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.11,cm,mslm,2019-03-05,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.1,cm,mslm,2019-03-06,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.17,cm,mslm,2019-03-07,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.17,cm,mslm,2019-03-08,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.15,cm,mslm,2019-03-09,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.16,cm,mslm,2019-03-10,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.15,cm,mslm,2019-03-11,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.14,cm,mslm,2019-03-12,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.1,cm,mslm,2019-03-13,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.15,cm,mslm,2019-03-14,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.12,cm,mslm,2019-03-15,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.08,cm,mslm,2019-03-16,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.09,cm,mslm,2019-03-17,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.07,cm,mslm,2019-03-18,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.06,cm,mslm,2019-03-19,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.07,cm,mslm,2019-03-20,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.08,cm,mslm,2019-03-21,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.07,cm,mslm,2019-03-22,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.07,cm,mslm,2019-03-23,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.07,cm,mslm,2019-03-24,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.07,cm,mslm,2019-03-25,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.05,cm,mslm,2019-03-26,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.07,cm,mslm,2019-03-27,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.08,cm,mslm,2019-03-28,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.09,cm,mslm,2019-03-29,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.09,cm,mslm,2019-03-30,2019,metri sul livello del mare
