"idsensore","tipologia","unit_dimisura","idstazione","nomestazione","quota","provincia","datastart","datastop","storico","cgb_nord","cgb_est","lng","lat","location"
"10373","Precipitazione","mm","687","Ferno v.Di Dio","215","VA","2007-08-13T00:00:00.000",,"N","5051773","481053","8.756970445453431","45.61924377994763","
,  
(45.61924377994763, 8.756970445453431)"
"10376","Precipitazione","mm","706","Lecco v.Sora","272","LC","2008-07-22T00:00:00.000",,"N","5078987","531045","9.399950344681852","45.86374884127965","
,  
(45.86374884127965, 9.399950344681852)"
"10377","Temperatura","°C","706","Lecco v.Sora","272","LC","2008-07-22T00:00:00.000",,"N","5078987","531045","9.399950344681852","45.86374884127965","
,  
(45.86374884127965, 9.399950344681852)"
"10381","Umidità Relativa","%","706","Lecco v.Sora","272","LC","2008-07-22T00:00:00.000",,"N","5078987","531045","9.399950344681852","45.86374884127965","
,  
(45.86374884127965, 9.399950344681852)"
"10382","Radiazione Globale","W/m²","706","Lecco v.Sora","272","LC","2008-07-31T00:00:00.000",,"N","5078987","531045","9.399950344681852","45.86374884127965","
,  
(45.86374884127965, 9.399950344681852)"
"10443","Precipitazione","mm","1264","Sondrio v.Paribelli","290","SO","2008-11-17T00:00:00.000","2019-01-22T00:00:00.000","S","5113073","567873","9.879209924469903","46.167852440665115","
,  
(46.167852440665115, 9.879209924469903)"
"10461","Direzione Vento","°","1266","Bertonico v.Moro","65","LO","2009-03-03T00:00:00.000",,"N","5009105","552297","9.666250375296032","45.23349364130374","
,  
(45.23349364130374, 9.666250375296032)"
"10465","Precipitazione","mm","1266","Bertonico v.Moro","65","LO","2009-03-03T00:00:00.000",,"N","5009105","552297","9.666250375296032","45.23349364130374","
,  
(45.23349364130374, 9.666250375296032)"
"10467","Radiazione Globale","W/m²","1266","Bertonico v.Moro","65","LO","2009-03-03T00:00:00.000",,"N","5009105","552297","9.666250375296032","45.23349364130374","
,  
(45.23349364130374, 9.666250375296032)"
"10469","Temperatura","°C","1266","Bertonico v.Moro","65","LO","2009-03-03T00:00:00.000",,"N","5009105","552297","9.666250375296032","45.23349364130374","
,  
(45.23349364130374, 9.666250375296032)"
"10470","Umidità Relativa","%","1266","Bertonico v.Moro","65","LO","2009-03-03T00:00:00.000",,"N","5009105","552297","9.666250375296032","45.23349364130374","
,  
(45.23349364130374, 9.666250375296032)"
"10472","Velocità Vento","m/s","1266","Bertonico v.Moro","65","LO","2009-03-03T00:00:00.000",,"N","5009105","552297","9.666250375296032","45.23349364130374","
,  
(45.23349364130374, 9.666250375296032)"
"10551","Temperatura","°C","554","Saronno v.Santuario","212","VA","2010-07-06T00:00:00.000",,"N","5052646","502058","9.026401379770974","45.627357052738944","
,  
(45.627357052738944, 9.026401379770974)"
"10552","Umidità Relativa","%","554","Saronno v.Santuario","212","VA","2010-07-06T00:00:00.000",,"N","5052646","502058","9.026401379770974","45.627357052738944","
,  
(45.627357052738944, 9.026401379770974)"
"10554","Precipitazione","mm","554","Saronno v.Santuario","212","VA","2010-07-06T00:00:00.000",,"N","5052646","502058","9.026401379770974","45.627357052738944","
,  
(45.627357052738944, 9.026401379770974)"
"10556","Radiazione Globale","W/m²","554","Saronno v.Santuario","212","VA","2010-07-06T00:00:00.000",,"N","5052646","502058","9.026401379770974","45.627357052738944","
,  
(45.627357052738944, 9.026401379770974)"
"10570","Temperatura","°C","1273","Val Masino Bagni","1191","SO","2011-07-15T00:00:00.000","2021-02-12T00:00:00.000","S","5121270","545980","9.596430583118106","46.24345094940859","
,  
(46.24345094940859, 9.596430583118106)"
"10571","Umidità Relativa","%","1273","Val Masino Bagni","1191","SO","2011-07-15T00:00:00.000","2021-02-12T00:00:00.000","S","5121270","545980","9.596430583118106","46.24345094940859","
,  
(46.24345094940859, 9.596430583118106)"
"10574","Precipitazione","mm","1273","Val Masino Bagni","1191","SO","2011-07-11T00:00:00.000","2021-02-12T00:00:00.000","S","5121270","545980","9.596430583118106","46.24345094940859","
,  
(46.24345094940859, 9.596430583118106)"
