ANNO,CODICE ATS RESIDENZA,DESCRIZIONE ATS RESIDENZA,COORDINATA GEOGRAFICA X,COORDINATA GEOGRAFICA Y,CODICE DISCIPLINA,DESCRIZIONE DISCIPLINA,TASSO RICOVERI STESSA ATS,TASSO RICOVERI ALTRA ATS,POSIZIONE
2014,325,ATS DI BERGAMO,9.63853045,45.68701679,02,DAY HOSPITAL,0,0.062305802295562,"(45.68701679, 9.63853045)"
2015,325,ATS DI BERGAMO,9.63853045,45.68701679,47,GRANDI USTIONATI,0,0.009018327947888,"(45.68701679, 9.63853045)"
2015,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,47,GRANDI USTIONATI,0,0.015330454924282,"(45.80802245, 8.837196022)"
2015,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,67,PENSIONANTI,0,0.101734771013059,"(45.1439181, 10.02604335)"
2012,324,ATS DELLA BRIANZA,9.298423314,45.69919245,47,GRANDI USTIONATI,0,0.014449822989668,"(45.69919245, 9.298423314)"
2017,328,ATS DI PAVIA,9.14034225,45.20086141,60,LUNGODEGENTI,0.487893123996119,0.03654630142293,"(45.20086141, 9.14034225)"
2015,325,ATS DI BERGAMO,9.63853045,45.68701679,07,CARDIOCHIRURGIA,0.624970126788673,0.187581221316081,"(45.68701679, 9.63853045)"
2014,328,ATS DI PAVIA,9.14034225,45.20086141,34,OCULISTICA,1.4498674146402,0.403044903944004,"(45.20086141, 9.14034225)"
2013,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,35,ODONTOIATRIA E STOMATOLOGIA,0,0.04450589554763,"(46.33431031, 10.32968894)"
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,64,ONCOLOGIA,0.771077217282754,0.754477061905299,"(45.69919245, 9.298423314)"
2014,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,56,RECUPERO E RIABILITAZIONE FUNZIONALE,6.27157143278563,1.95285996637069,"(46.33431031, 10.32968894)"
2016,325,ATS DI BERGAMO,9.63853045,45.68701679,08,CARDIOLOGIA,7.40685266958887,0.875215871543574,"(45.68701679, 9.63853045)"
2015,328,ATS DI PAVIA,9.14034225,45.20086141,61,MEDICINA NUCLEARE,0,0.072896658052712,"(45.20086141, 9.14034225)"
2015,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,39,PEDIATRIA,5.93637024999791,1.138634697558,"(45.80802245, 8.837196022)"
2017,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,37,OSTETRICIA E GINECOLOGIA,11.1956248591318,3.2266922971303,"(45.1439181, 10.02604335)"
2013,325,ATS DI BERGAMO,9.63853045,45.68701679,71,REUMATOLOGIA,0,0.024678674517532,"(45.68701679, 9.63853045)"
2017,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,11,CHIRURGIA PEDIATRICA,0,0.469462643550088,"(46.33431031, 10.32968894)"
2017,324,ATS DELLA BRIANZA,9.298423314,45.69919245,26,MEDICINA GENERALE,8.44468614689052,2.41040247596013,"(45.69919245, 9.298423314)"
2017,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,58,GASTROENTEROLOGIA,0,0.34466877627728,"(46.33431031, 10.32968894)"
2016,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,62,NEONATOLOGIA,0.878836284160318,0.197929821333489,"(45.80802245, 8.837196022)"
2015,325,ATS DI BERGAMO,9.63853045,45.68701679,14,CHIRURGIA VASCOLARE,1.56648356454823,0.161428070267204,"(45.68701679, 9.63853045)"
2016,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,49,TERAPIA INTENSIVA,0.71251965571464,0.134486468592237,"(45.1439181, 10.02604335)"
2016,324,ATS DELLA BRIANZA,9.298423314,45.69919245,24,MALATTIE INFETTIVE E TROPICALI,0.696904582147628,0.136062323181203,"(45.69919245, 9.298423314)"
2012,328,ATS DI PAVIA,9.14034225,45.20086141,18,EMATOLOGIA,1.33105330560461,0.022402019168661,"(45.20086141, 9.14034225)"
2014,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,25,MEDICINA DEL LAVORO,0,0.011799758104959,"(46.33431031, 10.32968894)"
2012,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,71,REUMATOLOGIA,0,0.04459176241509,"(46.33431031, 10.32968894)"
2016,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,66,ONCOEMATOLOGIA,0,0.020690225937267,"(45.1439181, 10.02604335)"
2017,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,21,GERIATRIA,0.451046384101819,0.031036632217939,"(45.44410928, 9.198811423)"
2017,326,ATS DI BRESCIA,10.25368782,45.65171815,30,NEUROCHIRURGIA,1.56579208862039,0.166042787419635,"(45.65171815, 10.25368782)"
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,47,GRANDI USTIONATI,0,0.012015781669006,"(45.80802245, 8.837196022)"
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,68,PNEUMOLOGIA,3.46971928834843,0.193270024341576,"(45.1439181, 10.02604335)"
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,18,EMATOLOGIA,0.257302408350542,0.140271312939489,"(45.69919245, 9.298423314)"
2013,325,ATS DI BERGAMO,9.63853045,45.68701679,52,DERMATOLOGIA,0.751328535311527,0.019194524624747,"(45.68701679, 9.63853045)"
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,56,RECUPERO E RIABILITAZIONE FUNZIONALE,4.90514682899054,1.50741258831059,"(45.44410928, 9.198811423)"
2016,328,ATS DI PAVIA,9.14034225,45.20086141,29,NEFROLOGIA,0.748276227081759,0.094903326361589,"(45.20086141, 9.14034225)"
2015,328,ATS DI PAVIA,9.14034225,45.20086141,47,GRANDI USTIONATI,0,0.023691413867131,"(45.20086141, 9.14034225)"
2013,325,ATS DI BERGAMO,9.63853045,45.68701679,RM,RIABILITAZIONE DI MANTENIMENTO,0.003656099928523,0.002742074946392,"(45.68701679, 9.63853045)"
2017,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,26,MEDICINA GENERALE,16.7850175777657,1.25259391863709,"(45.1439181, 10.02604335)"
2012,326,ATS DI BRESCIA,10.25368782,45.65171815,34,OCULISTICA,1.67732844764879,0.140730231580392,"(45.65171815, 10.25368782)"
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,30,NEUROCHIRURGIA,1.71375154279957,0.176570109569779,"(45.44410928, 9.198811423)"
2015,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,48,NEFROLOGIA (ABILITAZIONE TRAPIANTO RENE),0,0.059928141976737,"(45.80802245, 8.837196022)"
2017,324,ATS DELLA BRIANZA,9.298423314,45.69919245,32,NEUROLOGIA,2.81599904643419,0.749939781325506,"(45.69919245, 9.298423314)"
2013,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,73,TERAPIA INTENSIVA NEONATALE,0.025868301888257,0.071137830192706,"(45.1439181, 10.02604335)"
2016,326,ATS DI BRESCIA,10.25368782,45.65171815,13,CHIRURGIA TORACICA,0.379059091100535,0.051572665455855,"(45.65171815, 10.25368782)"
2012,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,37,OSTETRICIA E GINECOLOGIA,12.9583661578251,4.93184892310894,"(46.33431031, 10.32968894)"
2016,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,50,UNITA' CORONARICA,0.166023326277342,0.050399938334193,"(46.33431031, 10.32968894)"
2014,324,ATS DELLA BRIANZA,9.298423314,45.69919245,61,MEDICINA NUCLEARE,0,0.122143950384629,"(45.69919245, 9.298423314)"
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,32,NEUROLOGIA,3.24510817897849,0.472728032511152,"(45.1439181, 10.02604335)"
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,26,MEDICINA GENERALE,9.20727618010505,2.53484372613728,"(45.69919245, 9.298423314)"
2017,325,ATS DI BERGAMO,9.63853045,45.68701679,11,CHIRURGIA PEDIATRICA,0.672112641033288,0.112619410360806,"(45.68701679, 9.63853045)"
2016,324,ATS DELLA BRIANZA,9.298423314,45.69919245,31,NIDO,0.402379431359047,0.042312063916106,"(45.69919245, 9.298423314)"
2012,325,ATS DI BERGAMO,9.63853045,45.68701679,56,RECUPERO E RIABILITAZIONE FUNZIONALE,5.83775727074497,0.972499516970439,"(45.68701679, 9.63853045)"
2014,328,ATS DI PAVIA,9.14034225,45.20086141,19,"MALATTIE ENDOCRINE,DEL RICAMBIO E DELLA NUTRIZIONE",0,0.056535710507982,"(45.20086141, 9.14034225)"
2016,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,62,NEONATOLOGIA,0.821143341885293,0.201729702888356,"(45.1439181, 10.02604335)"
2014,324,ATS DELLA BRIANZA,9.298423314,45.69919245,49,TERAPIA INTENSIVA,0.526797717985406,0.262567947765597,"(45.69919245, 9.298423314)"
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,12,CHIRURGIA PLASTICA,1.35055687345056,0.198809959409878,"(45.44410928, 9.198811423)"
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,RM,RIABILITAZIONE DI MANTENIMENTO,0.092663561925954,0.002761496878588,"(45.44410928, 9.198811423)"
2016,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,98,DAY SURGERY,0,1.09990453658739,"(46.33431031, 10.32968894)"
2013,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,09,CHIRURGIA GENERALE,14.834221530555,2.03915257775121,"(45.44410928, 9.198811423)"
2017,328,ATS DI PAVIA,9.14034225,45.20086141,56,RECUPERO E RIABILITAZIONE FUNZIONALE,10.0959157680845,0.867974658794593,"(45.20086141, 9.14034225)"
2015,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,37,OSTETRICIA E GINECOLOGIA,13.8211019531,2.74066723714541,"(45.80802245, 8.837196022)"
2015,328,ATS DI PAVIA,9.14034225,45.20086141,33,NEUROPSICHIATRIA INFANTILE,0.639668174412544,0.071074241601394,"(45.20086141, 9.14034225)"
2015,326,ATS DI BRESCIA,10.25368782,45.65171815,18,EMATOLOGIA,0.625451583775717,0.023196693354319,"(45.65171815, 10.25368782)"
2015,328,ATS DI PAVIA,9.14034225,45.20086141,19,"MALATTIE ENDOCRINE,DEL RICAMBIO E DELLA NUTRIZIONE",0,0.012756915159224,"(45.20086141, 9.14034225)"
2014,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,39,PEDIATRIA,5.42788872828107,1.5900174046432,"(46.33431031, 10.32968894)"
2013,326,ATS DI BRESCIA,10.25368782,45.65171815,73,TERAPIA INTENSIVA NEONATALE,0.223401869419862,0.001745327104843,"(45.65171815, 10.25368782)"
2015,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,02,DAY HOSPITAL,0.690567310452862,0.212535852359357,"(45.80802245, 8.837196022)"
2016,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,18,EMATOLOGIA,0,0.287576118730396,"(46.33431031, 10.32968894)"
2015,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,68,PNEUMOLOGIA,3.45254330488623,0.198318414379888,"(45.1439181, 10.02604335)"
2013,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,RM,RIABILITAZIONE DI MANTENIMENTO,0.023327105702993,0.003938342521284,"(45.44410928, 9.198811423)"
2015,325,ATS DI BERGAMO,9.63853045,45.68701679,69,RADIOLOGIA,0,0.000901832794789,"(45.68701679, 9.63853045)"
2015,325,ATS DI BERGAMO,9.63853045,45.68701679,01,ALLERGOLOGIA,0,0.004509163973944,"(45.68701679, 9.63853045)"
2014,326,ATS DI BRESCIA,10.25368782,45.65171815,48,NEFROLOGIA (ABILITAZIONE TRAPIANTO RENE),0.837380240410833,0.005169013829696,"(45.65171815, 10.25368782)"
2016,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,11,CHIRURGIA PEDIATRICA,0,0.51854878755276,"(45.1439181, 10.02604335)"
2016,326,ATS DI BRESCIA,10.25368782,45.65171815,37,OSTETRICIA E GINECOLOGIA,16.4130007813259,0.741786838140049,"(45.65171815, 10.25368782)"
2017,325,ATS DI BERGAMO,9.63853045,45.68701679,50,UNITA' CORONARICA,0.209922580912542,0.024325792637934,"(45.68701679, 9.63853045)"
2015,325,ATS DI BERGAMO,9.63853045,45.68701679,30,NEUROCHIRURGIA,1.03440221562281,0.354420288352018,"(45.68701679, 9.63853045)"
2017,328,ATS DI PAVIA,9.14034225,45.20086141,38,OTORINOLARINGOIATRIA,3.59250142987404,0.531748685703635,"(45.20086141, 9.14034225)"
2016,324,ATS DELLA BRIANZA,9.298423314,45.69919245,01,ALLERGOLOGIA,0,0.011615076369127,"(45.69919245, 9.298423314)"
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,28,UNITA' SPINALE,0.025682925028332,0.001751108524659,"(45.44410928, 9.198811423)"
2016,325,ATS DI BERGAMO,9.63853045,45.68701679,34,OCULISTICA,0.619869385309727,0.291437862379974,"(45.68701679, 9.63853045)"
2017,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,70,RADIOTERAPIA,0.018809537410777,0.00835979440479,"(45.80802245, 8.837196022)"
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,66,ONCOEMATOLOGIA,0,0.017670267160303,"(45.80802245, 8.837196022)"
2017,328,ATS DI PAVIA,9.14034225,45.20086141,10,CHIRURGIA MAXILLO-FACCIALE,0,0.131566685122549,"(45.20086141, 9.14034225)"
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,51,ASTANTERIA,0.515822024425152,0.009141149799939,"(45.1439181, 10.02604335)"
2013,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,32,NEUROLOGIA,3.17824241467657,0.385957567085878,"(45.44410928, 9.198811423)"
2015,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,28,UNITA' SPINALE,0,0.027873554407784,"(45.80802245, 8.837196022)"
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,30,NEUROCHIRURGIA,1.0394793201074,0.732597862538001,"(45.1439181, 10.02604335)"
2017,328,ATS DI PAVIA,9.14034225,45.20086141,43,UROLOGIA,5.0799358977873,0.972131617849945,"(45.20086141, 9.14034225)"
2013,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,13,CHIRURGIA TORACICA,0.368623301907658,0.175904452840146,"(45.1439181, 10.02604335)"
2012,328,ATS DI PAVIA,9.14034225,45.20086141,13,CHIRURGIA TORACICA,0.14934679445774,0.455507723096108,"(45.20086141, 9.14034225)"
2013,325,ATS DI BERGAMO,9.63853045,45.68701679,12,CHIRURGIA PLASTICA,0.728477910758257,0.285175794424813,"(45.68701679, 9.63853045)"
2014,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,38,OTORINOLARINGOIATRIA,3.99716805805481,1.20947520575828,"(46.33431031, 10.32968894)"
2013,328,ATS DI PAVIA,9.14034225,45.20086141,47,GRANDI USTIONATI,0,0.01111998650775,"(45.20086141, 9.14034225)"
2017,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,39,PEDIATRIA,5.61676024549686,0.481792954336412,"(45.44410928, 9.198811423)"
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,30,NEUROCHIRURGIA,1.73877957114607,0.203214906811869,"(45.44410928, 9.198811423)"
2013,324,ATS DELLA BRIANZA,9.298423314,45.69919245,48,NEFROLOGIA (ABILITAZIONE TRAPIANTO RENE),0,0.098392998455146,"(45.69919245, 9.298423314)"
2017,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,35,ODONTOIATRIA E STOMATOLOGIA,0,0.023770260432916,"(46.33431031, 10.32968894)"
2015,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,75,NEURO-RIABILITAZIONE,0.736052688365934,0.366548326736449,"(46.33431031, 10.32968894)"
2016,326,ATS DI BRESCIA,10.25368782,45.65171815,62,NEONATOLOGIA,0.7117027832908,0.031803143697777,"(45.65171815, 10.25368782)"
2017,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,32,NEUROLOGIA,2.81418136241533,0.375050144465371,"(45.44410928, 9.198811423)"
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,09,CHIRURGIA GENERALE,12.5123671157562,5.04561722697724,"(45.69919245, 9.298423314)"
2016,328,ATS DI PAVIA,9.14034225,45.20086141,58,GASTROENTEROLOGIA,0,0.246383635746433,"(45.20086141, 9.14034225)"
2015,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,01,ALLERGOLOGIA,0,0.006968388601946,"(45.80802245, 8.837196022)"
