ANNO,CODICE ATS RESIDENZA,DESCRIZIONE ATS RESIDENZA,COORDINATA GEOGRAFICA X,COORDINATA GEOGRAFICA Y,POSIZIONE ATS,CODICE MDC,DESCRIZIONE MDC,TASSO RICOVERI STESSA ATS,TASSO RICOVERI ALTRA ATS
2014,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),13,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO FEMMINILE,0.00,6.07
2013,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),22,USTIONI,0.00,0.04
2014,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),08,MALATTIE E DISTURBI APPARATO OSTEOMUSCOLARE E TESSUTO CONNETTIVO,0.00,19.93
2013,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),19,MALATTIE E DISTURBI MENTALI,0.00,3.22
2017,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),05,MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO,15.02,2.69
2018,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),20,USO DI ALCOOL/FARMACI E DISTURBI MENTALI ORGANICI INDOTTI,0.09,0.11
2016,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),12,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO MASCHILE,1.33,1.36
2019,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),11,MALATTIE E DISTURBI RENE E VIE URINARIE,5.90,0.73
2019,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),09,"MALATTIE E DISTURBI PELLE, TESSUTO SOTTOCUTANEO E MAMMELLA",3.50,1.91
2015,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),20,USO DI ALCOOL/FARMACI E DISTURBI MENTALI ORGANICI INDOTTI,0.00,0.19
2017,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),25,INFEZIONI DA HIV,0.01,0.02
2013,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),23,FATTORI INFLUENZANTI LO STATO DI SALUTE ED IL RICORSO AI SERVIZI SANITARI,0.00,2.66
2016,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),24,TRAUMATISMI MULTIPLI,0.13,0.01
2012,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),06,MALATTIE E DISTURBI APPARATO DIGERENTE,0.00,13.36
2015,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),10,"MALATTIE E DISTURBI ENDOCRINI, METABOLICI E NUTRIZIONALI",0.00,1.92
2016,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),17,MALATTIE E DISTURBI MIELOPROLIFERATIVI E NEOPLASIE SCARSAMENTE DIFFERENZIATE,1.61,1.12
2017,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),20,USO DI ALCOOL/FARMACI E DISTURBI MENTALI ORGANICI INDOTTI,0.51,0.10
2014,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),02,MALATTIE E DISTURBI OCCHIO,0.00,2.16
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),07,MALATTIE E DISTURBI EPATOBILIARI E PANCREAS,0.00,4.64
2013,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),10,"MALATTIE E DISTURBI ENDOCRINI, METABOLICI E NUTRIZIONALI",0.00,2.28
