ANNO,ATS STRUTTURA,CODICE DRG,DESCRIZIONE DRG,DEGENZA MEDIA TOTALE,ACCESSI MEDI TOTALE
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,104,INT. VALVOLE CARDIACHE CON CATETERISMO CARDIACO,13.757982,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,274,T.M. MAMMELLA CON CC,15.296053,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,336,PROSTATECTOMIA TRANSURETRALE CON CC,8.627219,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,367,T.M. APP. RIPRODUTTIVO FEMMINILE SENZA CC,5.291391,1.13
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,452,COMPLICAZIONI DI TRATTAMENTO CON CC,12.007299,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,485,"REIMPIANTO ARTI,INT. ANCA,FEMORE PER TRAUM. RILEV.",21.430556,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,512,TRAPIANTO CONTEMPORANEO DI PANCREAS E RENE,27,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,519,ARTRODESI VERTEBRALE CERVICALE CON CC,14.48,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,528,INTERVENTI VASCOLARI INTRACRANICI CON DIAGNOSI PRINCIPALE DI EMORRAGIA,21.837209,0
2012,322 - ATS DELL'INSUBRIA,031,"COMMOZIONE CEREBRALE, ETA' > 17 CON CC",9.583333,0
2012,322 - ATS DELL'INSUBRIA,070,"OTITE M.,INFEZ. VIE RESPIR. SUP.,ETA' < 18",3.800203,1
2012,322 - ATS DELL'INSUBRIA,074,"ALTRE DIA. ORECCHIO, NASO, BOCCA, GOLA, ETA'< 18",3.585859,1.255319
2012,322 - ATS DELL'INSUBRIA,079,"INFEZ. E INFIAMM. RESPIRATORIE, ETA' > 17 CON CC",15.266484,0
2012,322 - ATS DELL'INSUBRIA,095,PNEUMOTORACE SENZA CC,5.251799,0
2012,322 - ATS DELL'INSUBRIA,099,SEGNI E SINTOMI RESPIRATORI CON CC,8.794118,0
2012,322 - ATS DELL'INSUBRIA,124,"MAL.CARDIOVASC. ESCL.IMA CON CATET.,DIA. COMPL.",7.297254,0
