ANNO,ATS STRUTTURA,CODICE STRUTTURA DI RICOVERO,DESCRIZIONE STRUTTURA DI RICOVERO,CODICE DISCIPLINA,DESCRIZIONE DISCIPLINA,DEGENZA MEDIA TOTALE,ACCESSI MEDI TOTALE
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030116-00,CLINICA SAN CARLO - PADERNO DUGNANO,09,CHIRURGIA GENERALE,7.247329,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030913-00,OSPEDALE CA' GRANDA-NIGUARDA - MILANO,43,UROLOGIA,5.082002,0
2012,322 - ATS DELL'INSUBRIA,030008-00,OSP. GENERALE PROVINCIALE - SARONNO,43,UROLOGIA,6.82199,1
2012,325 - ATS DI BERGAMO,030132-00,OSPEDALE CIVILE - S.GIOVANNI BIANCO,09,CHIRURGIA GENERALE,4.182522,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030067-00,OSPEDALE MAGGIORE - LODI,12,CHIRURGIA PLASTICA,4.69869,0
2012,322 - ATS DELL'INSUBRIA,030012-00,OSPEDALE CARLO ONDOLI - ANGERA,09,CHIRURGIA GENERALE,6.28976,1
2012,326 - ATS DI BRESCIA,030906-00,PRES.OSPEDAL.SPEDALI CIVILI BRESCIA,30,NEUROCHIRURGIA,10.456472,1
2012,328 - ATS DI PAVIA,030940-00,MAUGERI-CENTRO MEDICO MONTESCANO,56,RECUPERO E RIABILITAZIONE FUNZIONALE,26.955932,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030067-00,OSPEDALE MAGGIORE - LODI,38,OTORINOLARINGOIATRIA,3.716749,1
2012,323 - ATS DELLA MONTAGNA,030045-00,OSPEDALE CIVILE - MORBEGNO,26,MEDICINA GENERALE,9.936224,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030925-00,FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGIORE POLICLINICO,38,OTORINOLARINGOIATRIA,3.325,1
2012,324 - ATS DELLA BRIANZA,030078-00,PRESIDIO OSPEDALIERO DI VIMERCATE,64,ONCOLOGIA,12.395349,5.35
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030056-00,PRESIDIO OSPED. V. BUZZI - MILANO,08,CARDIOLOGIA,0,1.088235
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030072-00,OSPEDALE DI CIRCOLO PREDABISSI-MELEGNANO,38,OTORINOLARINGOIATRIA,4.896067,1
2012,322 - ATS DELL'INSUBRIA,030017-00,CASA DI CURA MATER DOMINI - CASTELLANZA,43,UROLOGIA,5.92394,1
2012,325 - ATS DI BERGAMO,030131-00,OSPEDALE DI TREVIGLIO E CARAVAGGIO,40,PSICHIATRIA,10.225564,6.066667
2012,326 - ATS DI BRESCIA,030167-00,OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA,33,NEUROPSICHIATRIA INFANTILE,11.216102,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030936-01,IST.AUXOLOGICO ITALIANO-I.S. S.LUCA-MI,08,CARDIOLOGIA,7.774845,0
2012,322 - ATS DELL'INSUBRIA,030282-01,OSPED.CIRCOLO CAUSA PIA LUVINI-CITTIGLIO,39,PEDIATRIA,4.144804,1
2012,322 - ATS DELL'INSUBRIA,030017-00,CASA DI CURA MATER DOMINI - CASTELLANZA,26,MEDICINA GENERALE,7.978454,1.304878
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030947-00,I.R.C.C.S. POLICLINICO SAN DONATO,49,TERAPIA INTENSIVA,18.709957,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030116-00,CLINICA SAN CARLO - PADERNO DUGNANO,08,CARDIOLOGIA,6.79646,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030915-00,OSPEDALE S. CARLO BORROMEO - MILANO,36,ORTOPEDIA E TRAUMATOLOGIA,11.032727,1
2012,326 - ATS DI BRESCIA,030177-00,CASA DI CURA VILLA GEMMA-GARDONE RIVIERA,56,RECUPERO E RIABILITAZIONE FUNZIONALE,17.265823,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030925-00,FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGIORE POLICLINICO,35,ODONTOIATRIA E STOMATOLOGIA,2.635294,1
2013,327 - ATS DELLA VAL PADANA,030209-00,OSPEDALE MAGGIORE - CREMA,26,MEDICINA GENERALE,9.870357,16.384615
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030913-00,OSPEDALE CA' GRANDA-NIGUARDA - MILANO,24,MALATTIE INFETTIVE E TROPICALI,17.840194,12.416667
2012,326 - ATS DI BRESCIA,030163-00,PRESIDIO OSPEDALIERO DI ISEO,40,PSICHIATRIA,12.938547,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030087-00,OSPEDALE CADUTI BOLLATESI - BOLLATE,09,CHIRURGIA GENERALE,8.767967,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030067-00,OSPEDALE MAGGIORE DI LODI,26,MEDICINA GENERALE,9.603399,0
2012,325 - ATS DI BERGAMO,030905-00,OSPEDALI RIUNITI - BERGAMO,52,DERMATOLOGIA,9.845815,1
2012,325 - ATS DI BERGAMO,030350-00,OSPEDALE S.ISIDORO - TRESCORE B.,56,RECUPERO E RIABILITAZIONE FUNZIONALE,30.094315,0
2012,322 - ATS DELL'INSUBRIA,030004-00,OSPEDALE DI CIRCOLO - BUSTO ARSIZIO,32,NEUROLOGIA,9.88,0
2012,322 - ATS DELL'INSUBRIA,030010-00,OSPEDALE DI CIRCOLO GALMARINI - TRADATE,38,OTORINOLARINGOIATRIA,1.866667,1
2012,326 - ATS DI BRESCIA,030156-00,OSPEDALE DI DESENZANO,08,CARDIOLOGIA,5.641892,1
2012,326 - ATS DI BRESCIA,030156-00,OSPEDALE DI DESENZANO,50,UNITA' CORONARICA,2.816327,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030072-00,OSPEDALE DI CIRCOLO PREDABISSI-MELEGNANO,50,UNITA' CORONARICA,4.114286,0
2012,322 - ATS DELL'INSUBRIA,030006-00,OSP. S. ANTONIO ABATE - GALLARATE,08,CARDIOLOGIA,6.854857,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030066-00,OSPEDALE G.SALVINI-GARBAGNATE MIL.SE,68,PNEUMOLOGIA,11.504367,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030948-00,IRCCS MULTIMEDICA - MILANO,29,NEFROLOGIA,7.292237,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030947-00,I.R.C.C.S. POLICLINICO SAN DONATO,26,MEDICINA GENERALE,9.232616,0
2013,322 - ATS DELL'INSUBRIA,030006-00,OSP. S. ANTONIO ABATE - GALLARATE,52,DERMATOLOGIA,11.504032,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030073-00,OSPEDALE DI CIRCOLO - RHO,09,CHIRURGIA GENERALE,7.453574,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030913-00,OSPEDALE CA' GRANDA-NIGUARDA - MILANO,58,GASTROENTEROLOGIA,13.764241,6.377193
2013,326 - ATS DI BRESCIA,030167-00,OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA,11,CHIRURGIA PEDIATRICA,4.811785,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030925-00,FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGIORE POLICLINICO,68,PNEUMOLOGIA,11.193878,0
2012,328 - ATS DI PAVIA,030203-00,OSPEDALE ASILO VITTORIA - MORTARA,56,RECUPERO E RIABILITAZIONE FUNZIONALE,28.653595,0
2012,322 - ATS DELL'INSUBRIA,030032-00,IST.CLINICO VILLA APRICA SPA-COMO,34,OCULISTICA,1.037037,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030946-00,ISTITUTO ORTOPEDICO GALEAZZI SPA,56,RECUPERO E RIABILITAZIONE FUNZIONALE,15.320277,0
2012,325 - ATS DI BERGAMO,030382-00,OSPEDALE M. O. ANTONIO LOCATELLI,31,NIDO,3.407407,0
2012,326 - ATS DI BRESCIA,030154-01,PRESIDIO OSPEDALIERO DI CHIARI,32,NEUROLOGIA,8.958955,0
2012,327 - ATS DELLA VAL PADANA,030355-00,OSPEDALE DI SUZZARA S.P.A.,56,RECUPERO E RIABILITAZIONE FUNZIONALE,13.315469,0
2012,323 - ATS DELLA MONTAGNA,030042-00,OSPEDALE CIVILE - SONDRIO,34,OCULISTICA,3.777778,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030916-00,OSPEDALE L. SACCO - MILANO,07,CARDIOCHIRURGIA,12.830667,1
2012,326 - ATS DI BRESCIA,030175-00,CASA DI CURA S. CAMILLO - BRESCIA,08,CARDIOLOGIA,5.516746,0
2012,326 - ATS DI BRESCIA,030161-00,PRESIDIO OSPEDALIERO DI SALO',40,PSICHIATRIA,11.09417,0
2013,325 - ATS DI BERGAMO,030905-00,OSPEDALE PAPA GIOVANNI XXIII - BG,12,CHIRURGIA PLASTICA,2.616092,0
2013,328 - ATS DI PAVIA,030924-00,POLICLINICO S. MATTEO - PAVIA,11,CHIRURGIA PEDIATRICA,2.103989,1
2013,325 - ATS DI BERGAMO,030143-00,CLINICHE GAVAZZENI SPA - BERGAMO,56,RECUPERO E RIABILITAZIONE FUNZIONALE,14.957647,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030121-00,CASA DI CURA S. PIO X - MILANO,12,CHIRURGIA PLASTICA,1.288889,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030085-00,OSPEDALE UBOLDO - CERNUSCO S/NAVIGLIO,26,MEDICINA GENERALE,11.870101,2.705882
2013,326 - ATS DI BRESCIA,030184-00,OSPEDALE DI MANERBIO,38,OTORINOLARINGOIATRIA,2.909462,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030922-00,"FOND.IRCCS ""ISTIT.NAZ.LE TUMORI""MILANO",12,CHIRURGIA PLASTICA,3.077399,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030914-00,OSPEDALE S. PAOLO - MILANO,49,TERAPIA INTENSIVA,12.481481,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030073-00,OSPEDALE DI CIRCOLO - RHO,33,NEUROPSICHIATRIA INFANTILE,0,3.173913
2013,323 - ATS DELLA MONTAGNA,030035-00,C.O.F. LANZO HOSPITAL - RAMPONIO VERNA,60,LUNGODEGENTI,23.173913,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030913-00,OSPEDALE CA' GRANDA-NIGUARDA - MILANO,14,CHIRURGIA VASCOLARE,5.280156,0
2013,322 - ATS DELL'INSUBRIA,030282-02,OSPEDALE LUINI CONFALONIERI - LUINO,26,MEDICINA GENERALE,7.868715,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030283-00,OSPEDALE G.CASATI-PASSIRANA RHO,68,PNEUMOLOGIA,0,18
2014,328 - ATS DI PAVIA,030945-00,ISTITUTO SCIENTIFICO DI PAVIA,56,RECUPERO E RIABILITAZIONE FUNZIONALE,38.970944,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030072-00,OSPEDALE DI  VIZZOLO PREDABISSI,39,PEDIATRIA,3.793805,1.04
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030925-00,FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGIORE POLICLINICO,26,MEDICINA GENERALE,13.864525,6.818182
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030116-00,CLINICA SAN CARLO - PADERNO DUGNANO,36,ORTOPEDIA E TRAUMATOLOGIA,4.441718,1
2014,323 - ATS DELLA MONTAGNA,030904-00,OSPEDALE MORELLI - SONDALO,68,PNEUMOLOGIA,16.950872,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030914-00,OSPEDALE S. PAOLO - MILANO,10,CHIRURGIA MAXILLO-FACCIALE,5.429319,1
2014,323 - ATS DELLA MONTAGNA,030042-00,OSPEDALE SONDRIO,09,CHIRURGIA GENERALE,8.039136,1
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030935-00,IRCCS    S. RAFFAELE - MILANO,36,ORTOPEDIA E TRAUMATOLOGIA,6.514993,0
2014,324 - ATS DELLA BRIANZA,030024-00,OSPEDALE DI CIRCOLO S.L.MANDIC-MERATE,37,OSTETRICIA E GINECOLOGIA,3.745863,1
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030922-00,"FOND.IRCCS ""ISTIT.NAZ.LE TUMORI""MILANO",43,UROLOGIA,4.625115,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030097-00,ISTITUTO CLINICO CITTA' STUDI - MILANO,12,CHIRURGIA PLASTICA,3.782178,1
2014,325 - ATS DI BERGAMO,030148-00,POLICLINICO SAN PIETRO  - PONTE S. PIETRO,38,OTORINOLARINGOIATRIA,2.293447,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030066-00,OSPEDALE G.SALVINI-GARBAGNATE MIL.SE,37,OSTETRICIA E GINECOLOGIA,4.535561,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030281-02,OSPEDALE DI CUGGIONO,38,OTORINOLARINGOIATRIA,2.201705,1
2012,322 - ATS DELL'INSUBRIA,030037-00,CASA DI CURA VILLA S. BENEDETTO - ALBESE,60,LUNGODEGENTI,44.9,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030925-00,FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGIORE POLICLINICO,34,OCULISTICA,3.213166,1
2012,322 - ATS DELL'INSUBRIA,030029-00,OSP.SACRA FAMIGLIA - F.B.F. - ERBA,56,RECUPERO E RIABILITAZIONE FUNZIONALE,22.3,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030051-00,P.O.  CITTA' DI SESTO S. GIOVANNI,50,UNITA' CORONARICA,5.984962,0
2014,326 - ATS DI BRESCIA,030156-00,OSPEDALE DI DESENZANO,50,UNITA' CORONARICA,3.545455,0
2014,326 - ATS DI BRESCIA,030184-00,OSPEDALE DI MANERBIO,08,CARDIOLOGIA,5.876957,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030916-00,OSPEDALE L. SACCO - MILANO,08,CARDIOLOGIA,8.2526,1
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030935-00,IRCCS    S. RAFFAELE - MILANO,32,NEUROLOGIA,8.07211,0
2014,323 - ATS DELLA MONTAGNA,030904-00,OSPEDALE MORELLI - SONDALO,26,MEDICINA GENERALE,10.59104,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030947-00,I.R.C.C.S. POLICLINICO SAN DONATO,68,PNEUMOLOGIA,10.863636,0
2013,324 - ATS DELLA BRIANZA,030070-00,PRESIDIO OSPEDALIERO DI CARATE ,39,PEDIATRIA,3.635628,1
