ANNO,PROVINCIA,GENERE,FASCIA D'ETA',COORDINATA X,COORDINATA Y,POPOLAZIONE,% POPOLAZIONE,POSIZIONE
2017,REGIONE LOMBARDIA,M,40-64,,,1865150,18.61582091762927,
2013,ITALIA,F,ALL,,,30795630,51.59673766508419,
2012,ITALIA,M,65-79,,,3971539,6.686744719059891,
2015,MANTOVA,ALL,0-17,10.77086348,45.14135331,67988,16.38584880422444,"(45.14135331, 10.77086348)"
2014,MANTOVA,M,ALL,10.77086348,45.14135331,202857,48.863896402960876,"(45.14135331, 10.77086348)"
2017,CREMONA,ALL,40-64,10.0131151,45.13644491,133917,37.2625129386624,"(45.13644491, 10.0131151)"
2012,CREMONA,F,0-17,10.0131151,45.13644491,27673,7.738945861217458,"(45.13644491, 10.0131151)"
2013,BRESCIA,M,65-79,10.18167955,45.51939749,80345,6.442071469348745,"(45.51939749, 10.18167955)"
2012,VARESE,F,18-39,8.80650544,45.80041256,112125,12.868199794797402,"(45.80041256, 8.80650544)"
2014,COMO,ALL,40-64,9.039360974,45.80216962,220566,36.834054207511564,"(45.80216962, 9.039360974)"
2012,MILANO,M,ALL,9.18951,45.46427,1453737,47.89208692108532,"(45.46427, 9.18951)"
2015,LODI,ALL,65-79,9.510140481,45.31535435,33805,14.724971251350317,"(45.31535435, 9.510140481)"
2013,BERGAMO,F,65-79,9.63853045,45.68012929,79784,7.292456917432467,"(45.68012929, 9.63853045)"
2012,REGIONE LOMBARDIA,F,ALL,,,4989589,51.43439034042372,
2016,LODI,M,65-79,9.510140481,45.31535435,15984,6.967347098900237,"(45.31535435, 9.510140481)"
2012,REGIONE LOMBARDIA,ALL,ALL,,,9700881,100,
2012,LECCO,ALL,ALL,9.388156645,45.85028614,336127,3.46491210437485,"(45.85028614, 9.388156645)"
2017,MANTOVA,F,ALL,10.77086348,45.14135331,210355,50.98155643343594,"(45.14135331, 10.77086348)"
2013,PAVIA,M,18-39,9.14034225,45.18407925,66980,12.41361160481792,"(45.18407925, 9.14034225)"
2013,MILANO,ALL,65-79,9.18951,45.46427,496232,16.137190443314864,"(45.46427, 9.18951)"
2014,BERGAMO,M,18-39,9.63853045,45.68012929,147132,13.285764207754635,"(45.68012929, 9.63853045)"
2017,LECCO,F,80 e +,9.388156645,45.85028614,14727,4.341199983492415,"(45.85028614, 9.388156645)"
2012,PAVIA,F,ALL,9.14034225,45.18407925,277070,51.72439542550769,"(45.18407925, 9.14034225)"
2016,SONDRIO,F,ALL,9.879429303,46.1707552,92858,51.1017434181562,"(46.1707552, 9.879429303)"
2013,LECCO,F,0-17,9.388156645,45.85028614,28730,8.489325552190294,"(45.85028614, 9.388156645)"
2016,LECCO,M,65-79,9.388156645,45.85028614,25508,7.51885018304869,"(45.85028614, 9.388156645)"
2013,SONDRIO,F,ALL,9.879429303,46.1707552,92591,51.126719344454195,"(46.1707552, 9.879429303)"
2014,ITALIA,ALL,40-64,,,21924174,36.0697789705447,
2014,MILANO,M,80 e +,9.18951,45.46427,68484,2.15617502786366,"(45.46427, 9.18951)"
2016,ITALIA,F,18-39,,,7434427,12.25477536666567,
2015,LODI,ALL,40-64,9.510140481,45.31535435,85388,37.19378332229849,"(45.31535435, 9.510140481)"
2013,BERGAMO,ALL,80 e +,9.63853045,45.68012929,55489,5.071833223345661,"(45.68012929, 9.63853045)"
2017,VARESE,ALL,40-64,8.80650544,45.80041256,330719,37.15764294534084,"(45.80041256, 8.80650544)"
2014,MANTOVA,F,0-17,10.77086348,45.14135331,32755,7.889976321640287,"(45.14135331, 10.77086348)"
2012,COMO,ALL,ALL,9.039360974,45.80216962,586795,6.048883601396615,"(45.80216962, 9.039360974)"
