"Regione","Provincia","Comune","Codice Sito","Nome Sito","LONG ","LAT ","Data ","Ostreopsis cf. ovata cell/l","Ostreopsis cf. ovata cell/ g fw"
"Campania","Napoli","Monte Di Procida","IT015063047001","Capo Schiano","14.03511072","40.80003245","6/22/2020","120","/"
"Campania","Napoli","Monte Di Procida","IT015063047001","Capo Schiano","14.03511072","40.80003245","7/13/2020","0","/"
"Campania","Napoli","Monte Di Procida","IT015063047001","Capo Schiano","14.03511072","40.80003245","7/31/2020","0","/"
"Campania","Napoli","Monte Di Procida","IT015063047001","Capo Schiano","14.03511072","40.80003245","8/10/2020","80","/"
"Campania","Napoli","Monte Di Procida","IT015063047001","Capo Schiano","14.03511072","40.80003245","8/24/2020","0","/"
"Campania","Napoli","Monte Di Procida","IT015063047001","Capo Schiano","14.03511072","40.80003245","9/7/2020","0","/"
"Campania","Napoli","Monte Di Procida","IT015063047001","Capo Schiano","14.03511072","40.80003245","10/1/2020","0","/"
"Campania","Napoli","Monte Di Procida","IT015063047002","Spiaggia Acquamorta","14.04322515","40.79465898","6/22/2020","0","/"
"Campania","Napoli","Monte Di Procida","IT015063047002","Spiaggia Acquamorta","14.04322515","40.79465898","7/13/2020","0","/"
"Campania","Napoli","Monte Di Procida","IT015063047002","Spiaggia Acquamorta","14.04322515","40.79465898","7/31/2020","0","/"
"Campania","Napoli","Monte Di Procida","IT015063047002","Spiaggia Acquamorta","14.04322515","40.79465898","8/10/2020","0","/"
"Campania","Napoli","Monte Di Procida","IT015063047002","Spiaggia Acquamorta","14.04322515","40.79465898","8/24/2020","0","/"
"Campania","Napoli","Monte Di Procida","IT015063047002","Spiaggia Acquamorta","14.04322515","40.79465898","9/7/2020","0","/"
"Campania","Napoli","Monte Di Procida","IT015063047002","Spiaggia Acquamorta","14.04322515","40.79465898","10/1/2020","0","/"
"Campania","Napoli","Bacoli","IT015063006004","Spiaggia Miliscola","14.07252051","40.78744825","6/17/2020","0","/"
"Campania","Napoli","Bacoli","IT015063006004","Spiaggia Miliscola","14.07252051","40.78744825","7/9/2020","80","/"
"Campania","Napoli","Bacoli","IT015063006004","Spiaggia Miliscola","14.07252051","40.78744825","7/31/2020","0","/"
"Campania","Napoli","Bacoli","IT015063006004","Spiaggia Miliscola","14.07252051","40.78744825","8/7/2020","0","/"
"Campania","Napoli","Bacoli","IT015063006004","Spiaggia Miliscola","14.07252051","40.78744825","8/24/2020","0","/"
"Campania","Napoli","Bacoli","IT015063006004","Spiaggia Miliscola","14.07252051","40.78744825","9/3/2020","0","/"
"Campania","Napoli","Bacoli","IT015063006004","Spiaggia Miliscola","14.07252051","40.78744825","10/1/2020","0","/"
"Campania","Napoli","Bacoli","IT015063006005","Arenile Dragonara ed Esercito","14.08345482","40.78438268","6/17/2020","0","/"
