"Regione","Provincia","Comune","Codice Sito","Nome Sito","LONG ","LAT ","Data ","Ostreopsis cf. ovata cell/l","Ostreopsis cf. ovata cell/ g fw"
"Liguria","Imperia","Ventimiglia","TINO","Ristorante Il Brigantino","7.613068","43.786425","29/06/20","0","0"
"Liguria","Imperia","Ventimiglia","TINO","Ristorante Il Brigantino","7.613068","43.786425","07/07/20","0","123"
"Liguria","Imperia","Ventimiglia","TINO","Ristorante Il Brigantino","7.613068","43.786425","20/07/20","0","112"
"Liguria","Imperia","Ventimiglia","TINO","Ristorante Il Brigantino","7.613068","43.786425","04/08/20","20","289"
"Liguria","Imperia","Ventimiglia","TINO","Ristorante Il Brigantino","7.613068","43.786425","24/08/20","80","750"
"Liguria","Imperia","Ventimiglia","TINO","Ristorante Il Brigantino","7.613068","43.786425","07/09/20","20","14"
"Liguria","Imperia","Ventimiglia","TINO","Ristorante Il Brigantino","7.613068","43.786425","21/09/20","20","22"
"Liguria","Imperia","Ventimiglia","MAGI","Marina San Giuseppe","7.601498","43.788506","08/06/20","0","/"
"Liguria","Imperia","S. Stefano al Mare","VASC","Piazza Saffi - 043","7.892187","43.837379","08/06/20","0","0"
"Liguria","Imperia","S. Stefano al Mare","VASC","Piazza Saffi - 043","7.892187","43.837379","23/06/20","0","0"
"Liguria","Imperia","S. Stefano al Mare","VASC","Piazza Saffi - 043","7.892187","43.837379","06/07/20","120","1430"
"Liguria","Imperia","S. Stefano al Mare","VASC","Piazza Saffi - 043","7.892187","43.837379","20/07/20","6360","1079"
"Liguria","Imperia","S. Stefano al Mare","VASC","Piazza Saffi - 043","7.892187","43.837379","04/08/20","120","1460"
"Liguria","Imperia","S. Stefano al Mare","VASC","Piazza Saffi - 043","7.892187","43.837379","24/08/20","680","2537"
"Liguria","Imperia","S. Stefano al Mare","VASC","Piazza Saffi - 043","7.892187","43.837379","07/09/20","40","80"
"Liguria","Imperia","S. Stefano al Mare","VASC","Piazza Saffi - 043","7.892187","43.837379","21/09/20","0","14"
"Liguria","Imperia","Diano Marina","MARC","Hotel Majestic - 096","8.091108","43.914078","08/06/20","0","0"
"Liguria","Imperia","Diano Marina","MARC","Hotel Majestic - 096","8.091108","43.914078","23/06/20","0","0"
"Liguria","Imperia","Diano Marina","MARC","Hotel Majestic - 096","8.091108","43.914078","07/07/20","0","1430"
"Liguria","Imperia","Diano Marina","MARC","Hotel Majestic - 096","8.091108","43.914078","20/07/20","0","1079"
"Liguria","Imperia","Diano Marina","MARC","Hotel Majestic - 096","8.091108","43.914078","04/08/20","20","1460"
"Liguria","Imperia","Diano Marina","MARC","Hotel Majestic - 096","8.091108","43.914078","24/08/20","40","2537"
"Liguria","Imperia","Diano Marina","MARC","Hotel Majestic - 096","8.091108","43.914078","07/09/20","20","80"
"Liguria","Imperia","Diano Marina","MARC","Hotel Majestic - 096","8.091108","43.914078","21/09/20","0","14"
"Liguria","Savona","Pietra Ligure","MCAD","Monumento caduti - 037","8.283879","44.146960","03/06/20","0","0"
"Liguria","Savona","Pietra Ligure","MCAD","Monumento caduti - 037","8.283879","44.146960","15/06/20","0","/"
