PROVINCIA,COMUNE,STAZIONE,COD_STAZIONE,CODICE_PP,DESC_PUNTO_PRELIEVO,UTM_X,UTM_Y,TIPOPUNTI,COD_CI_ADBPO,NOME_CORPO_IDRICO,DESCRIZIONE_CORPO_IDRICO,BACINO_IDROGRAFICO,ECOTIPO,MONITORAGGIO,ANNO,DATACAMPIONAMENTO,PARAMETRO,CAS,UM,CATEGORIA_PARAMETRI,TABELLA_RIFERIMENTO,SQAMA,SQACMA,VALORE_TESTUALE,SEGNO,VALORE_NUMERICO,VALORE_NUMERICO_NORMALIZZATO,GEO_Y,GEO_X,LOCATION
BS,Rovato,Rovato,POOG3NUCA1lo1,CI017166NU0002,Seriola Nuova,"578542,59","5043851,86",Punti Rete FIUMI,POOG3NUCA1lo,Seriola Nuova di Chiari (Canale),,OGLIO SUBLACUALE,,operativo,2016,07/06/2016,Portata,CAM-PRT-0,m³/s,1,,,,0.6,,0.6,0.6,45.54377331163092,10.00610278165889,"(45.543773311631, 10.006102781659)"
MN,Goito,Goito,POMI3CACA1lo1,CI020026NU0001,Scolo Caldone,"630530,0","5013292,0",Punti Rete FIUMI,POMI3CACA1lo,Caldone (Scolo),,MINCIO,,operativo,2016,05/10/2016,Portata,CAM-PRT-0,m³/s,1,,,,1,,1,1,45.26100723706273,10.663723244078858,"(45.261007237063, 10.663723244079)"
CR,San Daniele Po,San Daniele Po,POPOCA1lo1,CI019089NU0002,Dugale Pozzolo,"592601,0","4989607,0",Punti Rete FIUMI,POPOCA1lo,Dugale Pozzolo (Colatore),,Po,6,operativo,2016,22/09/2016,Portata,CAM-PRT-0,m³/s,1,,,,nd,,,,45.05386668575991,10.176013987039823,"(45.05386668576, 10.17601398704)"
BS,Fiesse,Fiesse,POOG3GMCA1lo1,CI017071NU0001,Vaso Seriola Gambara,"603315,0","5009571,0",Punti Rete FIUMI,N0080600891lo,Seriola Gambara (Vaso),,OGLIO SUBLACUALE,,operativo,2016,08/09/2016,Portata,CAM-PRT-0,m³/s,1,,,,2.556,,2.55,2.55,45.23204733204313,10.316173796399367,"(45.232047332043, 10.316173796399)"
CR,Gussola,Gussola,PORICA1lo1,CI019052NU0004,COLATORE RIOLO 2,"606442,0","4981951,0",Punti Rete FIUMI,N0083541lo,Il Riolo (Canale),,Po,6,operativo,2016,23/06/2016,Portata,CAM-PRT-0,m³/s,1,,,,nd,,,,44.98302227199681,10.350125706622238,"(44.983022271997, 10.350125706622)"
CR,Spinadesco,Spinadesco,0013311ir1,CI019100NU0002,Roggia Riglio 2,"575121,0","4998597,0",Punti Rete FIUMI,N0083311lo,Riglio (Roggia),,Po,6,operativo,2016,16/06/2016,Portata,CAM-PRT-0,m³/s,1,,,,nd,,,,45.13685148064009,9.955404373768125,"(45.13685148064, 9.955404373768)"
MN,Quistello,Quistello,POSBCA1ir1,CI020047NU0001,Sabbioncello Pt 89,"658340,32","4989636,18",Punti Rete FIUMI,POSBCA1ir,Sabbioncello (Canale),,Po,,operativo,2016,15/03/2016,Portata,CAM-PRT-0,m³/s,1,,,,0.5,,0.5,0.5,45.04248475610107,11.010491265988797,"(45.042484756101, 11.010491265989)"
BG,Osio Sopra,Osio sopra,POAD3BRBMClo1,CI016152NU0001,Roggia Brembilla,"543912,88","5053449,87",Punti Rete FIUMI,POAD3BRBMClo,Brembilla (Roggia),,BREMBO,,operativo,2016,22/03/2016,Portata,CAM-PRT-0,m³/s,1,,,,nd,,,,45.63320641887052,9.563402140868336,"(45.633206418871, 9.563402140868)"
MN,San Benedetto Po,S. Benedetto Po,0013281ir1,CI020055NU0001,Bonifica Re-Mn pt.45,"656774,36","4990301,15",Punti Rete FIUMI,0013281ir,Bonifica Mantovana,,Po,,operativo,2016,06/04/2016,Portata,CAM-PRT-0,m³/s,1,,,,4,,4,4,45.04881532653573,10.99082748702171,"(45.048815326536, 10.990827487022)"
CR,Crema,Crema,POAD3SEMOClo1,CI019035NU0002,Roggia Molinara,"554564,47","5024439,17",Punti Rete FIUMI,POAD3SEMOClo,Molinara (Roggia),,SERIO,,operativo,2016,22/11/2016,Portata,CAM-PRT-0,m³/s,1,,,,nd,,,,45.37134102658733,9.696824055388754,"(45.371341026587, 9.696824055389)"
