CODICE_ZONA_OMOGENEA_RISCHIO_IDROMETEO,NOME_ZONA_OMOGENEA_RISCHIO_IDROMETEO,CENTROIDE
IM-06,Orobie bergamasche,"(45.896057848475, 9.753523847522)"
IM-13,Bassa pianura orientale,"(45.054194267032, 10.660465052083)"
IM-04,Varesotto,"(45.879978395018, 8.741048663882)"
IM-08,Laghi e Prealpi orientali,"(45.700461082175, 10.3243822501)"
IM-01,Valchiavenna,"(46.356905287532, 9.376907737844)"
IM-11,Alta pianura orientale,"(45.345462732667, 10.277340523532)"
IM-03,Alta Valtellina,"(46.428138772726, 10.297499135424)"
IM-07,Valcamonica,"(46.070100176964, 10.326771122225)"
IM-09,Area metropolitana milanese,"(45.581309217969, 9.085534607194)"
IM-05,Lario e Prealpi occidentali,"(45.957042689268, 9.266795884023)"
IM-12,Bassa pianura occidentale,"(45.201554223751, 9.103786414558)"
IM-14,Appennino pavese,"(44.909288228632, 9.206320953066)"
IM-02,Media-bassa Valtellina,"(46.184286449773, 9.793279528132)"
IM-10,Pianura centrale,"(45.460900371032, 9.639612482713)"
