ANNO,ATS STRUTTURA,CODICE DISCIPLINA,DESCRIZIONE DISCIPLINA,DEGENZA MEDIA TOTALE,ACCESSI MEDI TOTALE
2012,322 - ATS DELL'INSUBRIA,50,UNITA' CORONARICA,5.732938,0
2012,323 - ATS DELLA MONTAGNA,08,CARDIOLOGIA,6.499184,1
2012,324 - ATS DELLA BRIANZA,25,MEDICINA DEL LAVORO,0,2.333333
2012,324 - ATS DELLA BRIANZA,50,UNITA' CORONARICA,6.374269,0
2012,327 - ATS DELLA VAL PADANA,51,ASTANTERIA,4.554187,0
2012,328 - ATS DI PAVIA,24,MALATTIE INFETTIVE E TROPICALI,14.734801,2.952381
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,51,ASTANTERIA,3.344205,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,68,PNEUMOLOGIA,10.55986,12.666667
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,70,RADIOTERAPIA,5.602588,0
2013,323 - ATS DELLA MONTAGNA,60,LUNGODEGENTI,24.857143,0
2013,325 - ATS DI BERGAMO,11,CHIRURGIA PEDIATRICA,4.290562,1
2013,327 - ATS DELLA VAL PADANA,52,DERMATOLOGIA,0,8.888889
2013,328 - ATS DI PAVIA,48,NEFROLOGIA (ABILITAZIONE TRAPIANTO RENE),12.293987,0
2013,REGIONE LOMBARDIA,70,RADIOTERAPIA,12.504569,1
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,10,CHIRURGIA MAXILLO-FACCIALE,3.73215,1
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,25,MEDICINA DEL LAVORO,3.526316,1.030303
2014,322 - ATS DELL'INSUBRIA,21,GERIATRIA,12.469672,0
2014,323 - ATS DELLA MONTAGNA,34,OCULISTICA,2.72807,1
2014,325 - ATS DI BERGAMO,61,MEDICINA NUCLEARE,3.944444,0
2014,327 - ATS DELLA VAL PADANA,56,RECUPERO E RIABILITAZIONE FUNZIONALE,21.481962,19.796296
2014,327 - ATS DELLA VAL PADANA,64,ONCOLOGIA,7.679254,0
2015,322 - ATS DELL'INSUBRIA,10,CHIRURGIA MAXILLO-FACCIALE,6.910088,0
2015,324 - ATS DELLA BRIANZA,73,TERAPIA INTENSIVA NEONATALE,9.255639,0
2015,325 - ATS DI BERGAMO,33,NEUROPSICHIATRIA INFANTILE,0,1.090164
2015,325 - ATS DI BERGAMO,58,GASTROENTEROLOGIA,12.959124,1.368421
2015,325 - ATS DI BERGAMO,62,NEONATOLOGIA,20.300743,1
2015,325 - ATS DI BERGAMO,73,TERAPIA INTENSIVA NEONATALE,24.614286,0
2015,326 - ATS DI BRESCIA,21,GERIATRIA,6.002742,0
2015,326 - ATS DI BRESCIA,64,ONCOLOGIA,6.163593,1
2015,328 - ATS DI PAVIA,56,RECUPERO E RIABILITAZIONE FUNZIONALE,27.298618,0
2015,REGIONE LOMBARDIA,19,"MALATTIE ENDOCRINE,DEL RICAMBIO E DELLA NUTRIZIONE",9.32967,1.508621
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,51,ASTANTERIA,1.109034,0
2016,322 - ATS DELL'INSUBRIA,30,NEUROCHIRURGIA,9.313208,0
2016,322 - ATS DELL'INSUBRIA,31,NIDO,4.8736,0
2016,322 - ATS DELL'INSUBRIA,35,ODONTOIATRIA E STOMATOLOGIA,0,1
2016,322 - ATS DELL'INSUBRIA,61,MEDICINA NUCLEARE,3.966981,0
2016,322 - ATS DELL'INSUBRIA,73,TERAPIA INTENSIVA NEONATALE,14.918033,0
2016,322 - ATS DELL'INSUBRIA,75,NEURO-RIABILITAZIONE,31.881188,0
2016,323 - ATS DELLA MONTAGNA,36,ORTOPEDIA E TRAUMATOLOGIA,5.599735,1
2016,323 - ATS DELLA MONTAGNA,50,UNITA' CORONARICA,3.544304,0
2016,325 - ATS DI BERGAMO,73,TERAPIA INTENSIVA NEONATALE,40.946667,0
2016,326 - ATS DI BRESCIA,21,GERIATRIA,6.35949,0
2016,326 - ATS DI BRESCIA,61,MEDICINA NUCLEARE,5.03871,0
2016,326 - ATS DI BRESCIA,75,NEURO-RIABILITAZIONE,38.660177,0
2016,328 - ATS DI PAVIA,14,CHIRURGIA VASCOLARE,6.519471,1
2016,REGIONE LOMBARDIA,31,NIDO,4.7057,0
