ANNO,ATS STRUTTURA,CODICE MDC,DESCRIZIONE MDC,DEGENZA MEDIA TOTALE,ACCESSI MEDI TOTALE
2012,323 - ATS DELLA MONTAGNA,20,USO DI ALCOOL/FARMACI E DISTURBI MENTALI ORGANICI INDOTTI,5.754098,0
2012,328 - ATS DI PAVIA,18,MALATTIE INFETTIVE E PARASSITARIE,11.796848,5.105263
2013,324 - ATS DELLA BRIANZA,07,MALATTIE E DISTURBI EPATOBILIARI E PANCREAS,8.360581,2.9375
2013,325 - ATS DI BERGAMO,21,"TRAUMATISMI, AVVELENAMENTI ED EFFETTI TOSSICI DEI FARMACI",6.711774,1
2013,328 - ATS DI PAVIA,07,MALATTIE E DISTURBI EPATOBILIARI E PANCREAS,8.98707,2.166667
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,25,INFEZIONI DA HIV,15.188235,6.322581
2014,327 - ATS DELLA VAL PADANA,15,MALATTIE E DISTURBI PERIODO PERINATALE,8.356998,1
2015,323 - ATS DELLA MONTAGNA,04,MALATTIE E DISTURBI APPARATO RESPIRATORIO,11.801334,1
2015,326 - ATS DI BRESCIA,20,USO DI ALCOOL/FARMACI E DISTURBI MENTALI ORGANICI INDOTTI,13.829646,0
2015,327 - ATS DELLA VAL PADANA,07,MALATTIE E DISTURBI EPATOBILIARI E PANCREAS,7.643754,6.6
2016,322 - ATS DELL'INSUBRIA,24,TRAUMATISMI MULTIPLI,17.734177,0
2016,323 - ATS DELLA MONTAGNA,25,INFEZIONI DA HIV,33.285714,0
2016,324 - ATS DELLA BRIANZA,25,INFEZIONI DA HIV,15.726776,0
2016,325 - ATS DI BERGAMO,19,MALATTIE E DISTURBI MENTALI,16.854509,14.477528
2017,323 - ATS DELLA MONTAGNA,19,MALATTIE E DISTURBI MENTALI,11.499479,1
2017,323 - ATS DELLA MONTAGNA,NA,MDC NON APPLICABILE,9.714286,0
2017,324 - ATS DELLA BRIANZA,20,USO DI ALCOOL/FARMACI E DISTURBI MENTALI ORGANICI INDOTTI,10.710345,6.6
2017,326 - ATS DI BRESCIA,20,USO DI ALCOOL/FARMACI E DISTURBI MENTALI ORGANICI INDOTTI,12.851324,0
2012,323 - ATS DELLA MONTAGNA,  ,PREMDC (DRG SENZA SPECIFICA MDC),17.894737,0
2012,323 - ATS DELLA MONTAGNA,24,TRAUMATISMI MULTIPLI,12.482759,0
