ANNO,ATS STRUTTURA,CODICE STRUTTURA DI RICOVERO,DESCRIZIONE STRUTTURA DI RICOVERO,CODICE MDC,DESCRIZIONE MDC,DEGENZA MEDIA TOTALE,ACCESSI MEDI TOTALE
2012,326 - ATS DI BRESCIA,030157-00,OSPEDALE CIVILE LA MEMORIA DI GAVARDO,11,MALATTIE E DISTURBI RENE E VIE URINARIE,6.045161,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030097-00,ISTITUTO CLINICO CITTA' STUDI -  MILANO,11,MALATTIE E DISTURBI RENE E VIE URINARIE,6.322148,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030935-00,IRCCS    S. RAFFAELE - MILANO,13,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO FEMMINILE,4.699417,1
2012,323 - ATS DELLA MONTAGNA,030904-00,OSPEDALE MORELLI - SONDALO,08,MALATTIE E DISTURBI APPARATO OSTEOMUSCOLARE E TESSUTO CONNETTIVO,9.539596,1
2012,322 - ATS DELL'INSUBRIA,030010-00,OSPEDALE DI CIRCOLO GALMARINI - TRADATE,08,MALATTIE E DISTURBI APPARATO OSTEOMUSCOLARE E TESSUTO CONNETTIVO,6.304965,1
2012,326 - ATS DI BRESCIA,030157-00,OSPEDALE CIVILE LA MEMORIA DI GAVARDO,04,MALATTIE E DISTURBI APPARATO RESPIRATORIO,7.45392,0
2012,328 - ATS DI PAVIA,030198-00,CASA DI CURA BEATO MATTEO,09,"MALATTIE E DISTURBI PELLE, TESSUTO SOTTOCUTANEO E MAMMELLA",2.801762,1
2012,327 - ATS DELLA VAL PADANA,030357-00,OSP. SAN PELLEGRINO - CASTIGLIONE D/S,04,MALATTIE E DISTURBI APPARATO RESPIRATORIO,9.745509,0
2012,326 - ATS DI BRESCIA,030163-00,PRESIDIO OSPEDALIERO DI ISEO,06,MALATTIE E DISTURBI APPARATO DIGERENTE,5.260355,1
2012,322 - ATS DELL'INSUBRIA,030010-00,OSPEDALE DI CIRCOLO GALMARINI - TRADATE,06,MALATTIE E DISTURBI APPARATO DIGERENTE,6.030876,1
