ANNO,CODICE_ATS_EROGAZIONE,DESCRIZIONE_ATS_EROGAZIONE,ATC_LIVELLO_1,DESCRIZIONE_ATC_LIVELLO_1,ATC_LIVELLO_2,DESCRIZIONE_ATC_LIVELLO_2,CONF_PER_ PRIMI_10_ATC_LIVELLO2
2013,326,ATS DI BRESCIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A01,STOMATOLOGICI,43
2014,323,ATS DELLA MONTAGNA,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",P02,ANTIELMINTICI,1482
2016,323,ATS DELLA MONTAGNA,B,SANGUE E ORGANI EMOPOIETICI,B03,FARMACI ANTIANEMICI,59318
2016,323,ATS DELLA MONTAGNA,J,ANTINFETTIVI PER USO SISTEMICO,J06,SIERI IMMUNI ED IMMUNOGLOBULINE,468
2016,323,ATS DELLA MONTAGNA,M,SISTEMA MUSCOLO-SCHELETRICO,M04,ANTIGOTTOSI,39026
2016,323,ATS DELLA MONTAGNA,M,SISTEMA MUSCOLO-SCHELETRICO,M05,FARMACI PER IL TRATTAMENTO DELLE MALATTIE DELLE OSSA,32896
2016,325,ATS DI BERGAMO,D,DERMATOLOGICI,D06,ANTIBIOTICI E CHEMIOTERAPICI PER USO DERMATOLOGICO,863
2012,325,ATS DI BERGAMO,R,SISTEMA RESPIRATORIO,R06,ANTISTAMINICI PER USO SISTEMICO,182707
2015,328,ATS DI PAVIA,J,ANTINFETTIVI PER USO SISTEMICO,J04,ANTIMICOBATTERICI,2546
2012,324,ATS DELLA BRIANZA,B,SANGUE E ORGANI EMOPOIETICI,B05,SUCCEDANEI DEL SANGUE E SOLUZIONI PERFUSIONALI,29538
2012,325,ATS DI BERGAMO,R,SISTEMA RESPIRATORIO,R05,PREPARATI PER LA TOSSE E LE MALATTIE DA RAFFREDDAMENTO,1556
2013,326,ATS DI BRESCIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A05,TERAPIA BILIARE ED EPATICA,52354
2015,327,ATS DELLA VAL PADANA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L03,IMMUNOSTIMOLANTI,2019
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",P01,ANTIPROTOZOARI,112621
2016,324,ATS DELLA BRIANZA,N,SISTEMA NERVOSO,N01,ANESTETICI,7242
2016,325,ATS DI BERGAMO,D,DERMATOLOGICI,D10,PREPARATI ANTIACNE,2109
2017,327,ATS DELLA VAL PADANA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H02,CORTICOSTEROIDI SISTEMICI,182042
2015,324,ATS DELLA BRIANZA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A02,FARMACI PER I DISTURBI CORRELATI ALLA SECREZIONE ACIDA,2525141
2016,322,ATS DELL'INSUBRIA,C,SISTEMA CARDIOVASCOLARE,C02,ANTIPERTENSIVI,232297
2016,322,ATS DELL'INSUBRIA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G04,UROLOGICI,632863
2016,323,ATS DELLA MONTAGNA,M,SISTEMA MUSCOLO-SCHELETRICO,M03,MIORILASSANTI,2818
2012,328,ATS DI PAVIA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G03,ORMONI SESSUALI E MODULATORI DEL SISTEMA GENITALE,90934
2014,322,ATS DELL'INSUBRIA,N,SISTEMA NERVOSO,N06,PSICOANALETTICI,737826
2014,328,ATS DI PAVIA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G03,ORMONI SESSUALI E MODULATORI DEL SISTEMA GENITALE,83521
2016,324,ATS DELLA BRIANZA,D,DERMATOLOGICI,D10,PREPARATI ANTIACNE,2753
2017,327,ATS DELLA VAL PADANA,C,SISTEMA CARDIOVASCOLARE,C01,TERAPIA CARDIACA,283810
2017,327,ATS DELLA VAL PADANA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H01,ORMONI IPOFISARI ED IPOTALAMICI ED ANALOGHI,4093
2012,328,ATS DI PAVIA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L02,TERAPIA ENDOCRINA,38389
2012,328,ATS DI PAVIA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L03,IMMUNOSTIMOLANTI,3014
2014,323,ATS DELLA MONTAGNA,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",P01,ANTIPROTOZOARI,12114
2014,328,ATS DI PAVIA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G04,UROLOGICI,241989
2015,323,ATS DELLA MONTAGNA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H04,ORMONI PANCREATICI,202
2015,324,ATS DELLA BRIANZA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A11,VITAMINE,443546
2015,324,ATS DELLA BRIANZA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A12,INTEGRATORI MINERALI,171509
2015,324,ATS DELLA BRIANZA,J,ANTINFETTIVI PER USO SISTEMICO,J01,ANTIBATTERICI PER USO SISTEMICO,1226902
2015,324,ATS DELLA BRIANZA,J,ANTINFETTIVI PER USO SISTEMICO,J02,ANTIMICOTICI PER USO SISTEMICO,46744
2016,323,ATS DELLA MONTAGNA,M,SISTEMA MUSCOLO-SCHELETRICO,M01,FARMACI ANTINFIAMMATORI ED ANTIREUMATICI,90094
2016,324,ATS DELLA BRIANZA,D,DERMATOLOGICI,D01,ANTIMICOTICI PER USO DERMATOLOGICO,5484
2017,327,ATS DELLA VAL PADANA,C,SISTEMA CARDIOVASCOLARE,C02,ANTIPERTENSIVI,212875
2012,328,ATS DI PAVIA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L04,IMMUNOSOPPRESSIVI,20552
2014,323,ATS DELLA MONTAGNA,R,SISTEMA RESPIRATORIO,R05,PREPARATI PER LA TOSSE E LE MALATTIE DA RAFFREDDAMENTO,705
2014,328,ATS DI PAVIA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G02,ALTRI GINECOLOGICI,4580
2016,323,ATS DELLA MONTAGNA,J,ANTINFETTIVI PER USO SISTEMICO,J02,ANTIMICOTICI PER USO SISTEMICO,10935
2016,323,ATS DELLA MONTAGNA,J,ANTINFETTIVI PER USO SISTEMICO,J05,ANTIVIRALI PER USO SISTEMICO,7223
2017,30,REGIONE LOMBARDIA,S,ORGANI DI SENSO,S01,OFTALMOLOGICI,2302188
2014,323,ATS DELLA MONTAGNA,R,SISTEMA RESPIRATORIO,R03,FARMACI PER LE SINDROMI OSTRUTTIVE DELLE VIE RESPIRATORIE,148319
2015,324,ATS DELLA BRIANZA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A07,"ANTIDIARROICI, ANTINFIAMMATORI E ANTINFETTIVI INTESTINALI",261520
2016,323,ATS DELLA MONTAGNA,B,SANGUE E ORGANI EMOPOIETICI,B01,ANTITROMBOTICI,335700
2016,325,ATS DI BERGAMO,D,DERMATOLOGICI,D01,ANTIMICOTICI PER USO DERMATOLOGICO,8576
2013,326,ATS DI BRESCIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A04,ANTIEMETICI E ANTINAUSEA,5779
2015,323,ATS DELLA MONTAGNA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H03,TERAPIA TIROIDEA,45836
2015,324,ATS DELLA BRIANZA,J,ANTINFETTIVI PER USO SISTEMICO,J05,ANTIVIRALI PER USO SISTEMICO,23836
2015,324,ATS DELLA BRIANZA,J,ANTINFETTIVI PER USO SISTEMICO,J06,SIERI IMMUNI ED IMMUNOGLOBULINE,1250
2015,328,ATS DI PAVIA,J,ANTINFETTIVI PER USO SISTEMICO,J05,ANTIVIRALI PER USO SISTEMICO,12859
2016,323,ATS DELLA MONTAGNA,B,SANGUE E ORGANI EMOPOIETICI,B02,ANTIEMORRAGICI,3110
2017,327,ATS DELLA VAL PADANA,C,SISTEMA CARDIOVASCOLARE,C08,CALCIOANTAGONISTI,618975
2015,327,ATS DELLA VAL PADANA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L04,IMMUNOSOPPRESSIVI,25482
2016,30,REGIONE LOMBARDIA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G02,ALTRI GINECOLOGICI,61422
2016,322,ATS DELL'INSUBRIA,C,SISTEMA CARDIOVASCOLARE,C07,BETABLOCCANTI,1378894
2016,324,ATS DELLA BRIANZA,D,DERMATOLOGICI,D06,ANTIBIOTICI E CHEMIOTERAPICI PER USO DERMATOLOGICO,1082
2016,324,ATS DELLA BRIANZA,N,SISTEMA NERVOSO,N05,PSICOLETTICI,192586
2016,325,ATS DI BERGAMO,D,DERMATOLOGICI,D11,ALTRI PREPARATI DERMATOLOGICI,186
2017,327,ATS DELLA VAL PADANA,C,SISTEMA CARDIOVASCOLARE,C09,SOSTANZE AD AZIONE SUL SISTEMA RENINA-ANGIOTENSINA,2048856
2017,327,ATS DELLA VAL PADANA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H03,TERAPIA TIROIDEA,174224
2012,324,ATS DELLA BRIANZA,B,SANGUE E ORGANI EMOPOIETICI,B06,ALTRI AGENTI EMATOLOGICI,44
2013,326,ATS DI BRESCIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A03,FARMACI PER I DISTURBI FUNZIONALI GASTROINTESTINALI,10072
2015,328,ATS DI PAVIA,J,ANTINFETTIVI PER USO SISTEMICO,J02,ANTIMICOTICI PER USO SISTEMICO,28385
2016,324,ATS DELLA BRIANZA,D,DERMATOLOGICI,D11,ALTRI PREPARATI DERMATOLOGICI,140
2016,327,ATS DELLA VAL PADANA,B,SANGUE E ORGANI EMOPOIETICI,B03,FARMACI ANTIANEMICI,151370
2013,30,REGIONE LOMBARDIA,V,VARI,V07,TUTTI GLI ALTRI PRODOTTI NON TERAPEUTICI,4
2014,322,ATS DELL'INSUBRIA,N,SISTEMA NERVOSO,N05,PSICOLETTICI,106954
2014,323,ATS DELLA MONTAGNA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L01,ANTINEOPLASTICI,11335
2015,324,ATS DELLA BRIANZA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A01,STOMATOLOGICI,96
2015,324,ATS DELLA BRIANZA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A03,FARMACI PER I DISTURBI FUNZIONALI GASTROINTESTINALI,7448
2015,322,ATS DELL'INSUBRIA,N,SISTEMA NERVOSO,N01,ANESTETICI,8916
2016,322,ATS DELL'INSUBRIA,C,SISTEMA CARDIOVASCOLARE,C10,SOSTANZE MODIFICATRICI DEI LIPIDI,1670340
2016,327,ATS DELLA VAL PADANA,B,SANGUE E ORGANI EMOPOIETICI,B01,ANTITROMBOTICI,803173
2017,328,ATS DI PAVIA,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",P01,ANTIPROTOZOARI,31177
2012,328,ATS DI PAVIA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L01,ANTINEOPLASTICI,24428
2013,326,ATS DI BRESCIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A09,"DIGESTIVI, INCLUSI GLI ENZIMI",9687
2016,324,ATS DELLA BRIANZA,N,SISTEMA NERVOSO,N02,ANALGESICI,327738
2016,324,ATS DELLA BRIANZA,N,SISTEMA NERVOSO,N07,ALTRI FARMACI DEL SISTEMA NERVOSO,18811
2017,327,ATS DELLA VAL PADANA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H04,ORMONI PANCREATICI,515
2012,30,REGIONE LOMBARDIA,S,ORGANI DI SENSO,S01,OFTALMOLOGICI,2131427
