ANNO,CODICE_ATS_EROGAZIONE,DESCRIZIONE_ATS_EROGAZIONE,COORDINATA_GEOGRAFICA_X,COORDINATA_GEOGRAFICA_Y,ATC LIVELLO 1,DESCRIZIONE ATC LIVELLO 1,GENERE,FASCIA_ETA',CONF,Nuova colonna georeferenziata
2017,30,REGIONE LOMBARDIA,,,S,ORGANI DI SENSO,F,18-39,14052,
2016,30,REGIONE LOMBARDIA,,,D,DERMATOLOGICI,M,65-79,75117,
2016,30,REGIONE LOMBARDIA,,,J,ANTINFETTIVI PER USO SISTEMICO,M,80 e +,499867,
2016,30,REGIONE LOMBARDIA,,,S,ORGANI DI SENSO,M,0-17,3930,
2016,30,REGIONE LOMBARDIA,,,V,VARI,M,0-17,1048,
2016,30,REGIONE LOMBARDIA,,,R,SISTEMA RESPIRATORIO,M,80 e +,451158,
2013,30,REGIONE LOMBARDIA,,,J,ANTINFETTIVI PER USO SISTEMICO,F,0-17,1062019,
2013,30,REGIONE LOMBARDIA,,,A,APPARATO GASTROINTESTINALE E METABOLISMO,M,40-64,4793150,
2012,30,REGIONE LOMBARDIA,,,D,DERMATOLOGICI,F,0-17,6500,
2012,30,REGIONE LOMBARDIA,,,B,SANGUE E ORGANI EMOPOIETICI,-,80 e +,97277,
2012,30,REGIONE LOMBARDIA,,,N,SISTEMA NERVOSO,-,80 e +,119241,
2015,30,REGIONE LOMBARDIA,,,N,SISTEMA NERVOSO,M,65-79,1828086,
2015,30,REGIONE LOMBARDIA,,,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,F,40-64,666600,
2015,30,REGIONE LOMBARDIA,,,C,SISTEMA CARDIOVASCOLARE,F,0-17,11221,
2014,30,REGIONE LOMBARDIA,,,R,SISTEMA RESPIRATORIO,-,80 e +,44597,
2014,30,REGIONE LOMBARDIA,,,V,VARI,M,80 e +,42693,
2014,30,REGIONE LOMBARDIA,,,V,VARI,-,80 e +,2569,
2014,30,REGIONE LOMBARDIA,,,S,ORGANI DI SENSO,M,80 e +,236540,
2016,30,REGIONE LOMBARDIA,,,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",F,18-39,33100,
2013,30,REGIONE LOMBARDIA,,,N,SISTEMA NERVOSO,M,80 e +,792607,
2013,30,REGIONE LOMBARDIA,,,B,SANGUE E ORGANI EMOPOIETICI,M,65-79,3143965,
2013,30,REGIONE LOMBARDIA,,,B,SANGUE E ORGANI EMOPOIETICI,F,18-39,381815,
2017,30,REGIONE LOMBARDIA,,,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,M,18-39,22420,
2016,30,REGIONE LOMBARDIA,,,B,SANGUE E ORGANI EMOPOIETICI,M,40-64,1420318,
2012,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,V,VARI,F,40-64,2588,"(45.80802245, 8.837196022)"
2014,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,S,ORGANI DI SENSO,M,65-79,37876,"(45.1439181, 10.02604335)"
