"Regione","Provincia","Comune","Codice Sito","Nome Sito","LONG ","LAT ","Data ","Ostreopsis cf. ovata"
"","","","","","","",""," cell/l"
"Puglia","Foggia","Isole Tremiti","IT016071026001 ","Isola S.Domino ristorante Il Pirata","15.496762","41.979722","6/4/2020","0"
"Puglia","Foggia","Isole Tremiti","IT016071026001 ","Isola S.Domino ristorante Il Pirata","15.496762","42.121216","6/30/2020","0"
"Puglia","Foggia","Isole Tremiti","IT016071026001 ","Isola S.Domino ristorante Il Pirata","15.496762","42.121216","7/9/2020","0"
"Puglia","Foggia","Isole Tremiti","IT016071026001 ","Isola S.Domino ristorante Il Pirata","15.496762","42.121216","7/23/2020","320"
"Puglia","Foggia","Isole Tremiti","IT016071026001 ","Isola S.Domino ristorante Il Pirata","15.496762","42.121216","8/4/2020","0"
"Puglia","Foggia","Isole Tremiti","IT016071026001 ","Isola S.Domino ristorante Il Pirata","15.496762","42.121216","8/24/2020","400"
"Puglia","Foggia","Isole Tremiti","IT016071026001 ","Isola S.Domino ristorante Il Pirata","15.496762","42.121216","9/2/2020","0"
"Puglia","Foggia","Isole Tremiti","IT016071026001 ","Isola S.Domino ristorante Il Pirata","15.496762","42.121216","9/25/2020","0"
"Puglia","Foggia","Vico Del Gargano","IT016071059001 ","loc.Pietra nera 30 mt dx canale","15.934293","41.935000","6/9/2020","0"
"Puglia","Foggia","Vico Del Gargano","IT016071059001 ","loc.Pietra nera 30 mt dx canale","15.934293","41.935000","6/16/2020","0"
"Puglia","Foggia","Vico Del Gargano","IT016071059001 ","loc.Pietra nera 30 mt dx canale","15.934293","41.935000","7/7/2020","0"
"Puglia","Foggia","Vico Del Gargano","IT016071059001 ","loc.Pietra nera 30 mt dx canale","15.934293","41.935000","7/21/2020","0"
"Puglia","Foggia","Vico Del Gargano","IT016071059001 ","loc.Pietra nera 30 mt dx canale","15.934293","41.935000","8/11/2020","0"
"Puglia","Foggia","Vico Del Gargano","IT016071059001 ","loc.Pietra nera 30 mt dx canale","15.934293","41.935000","8/20/2020","1120"
"Puglia","Foggia","Vico Del Gargano","IT016071059001 ","loc.Pietra nera 30 mt dx canale","15.934293","41.935000","9/2/2020","40"
"Puglia","Foggia","Vico Del Gargano","IT016071059001 ","loc.Pietra nera 30 mt dx canale","15.934293","41.935000","9/17/2020","3900"
"Puglia","Foggia","Vieste","IT016071060051 ","porto di Vieste 100 mt dx","16.178466","41.888140","6/12/2020","0"
"Puglia","Foggia","Vieste","IT016071060051 ","porto di Vieste 100 mt dx","16.178466","41.888140","6/21/2020","0"
"Puglia","Foggia","Vieste","IT016071060051 ","porto di Vieste 100 mt dx","16.178466","41.888140","7/8/2020","0"
"Puglia","Foggia","Vieste","IT016071060051 ","porto di Vieste 100 mt dx","16.178466","41.888140","7/22/2020","0"
"Puglia","Foggia","Vieste","IT016071060051 ","porto di Vieste 100 mt dx","16.178466","41.888140","8/4/2020","0"
"Puglia","Foggia","Vieste","IT016071060051 ","porto di Vieste 100 mt dx","16.178466","41.888140","8/19/2020","0"
"Puglia","Foggia","Vieste","IT016071060051 ","porto di Vieste 100 mt dx","16.178466","41.888140","9/1/2020","80"
"Puglia","Foggia","Vieste","IT016071060051 ","porto di Vieste 100 mt dx","16.178466","41.888140","9/29/2020","80"
"Puglia","Foggia","Vieste","IT016071060012 ","spiagga Pugnochiuso","16.188443","41.784740","6/12/2020","0"
"Puglia","Foggia","Vieste","IT016071060012 ","spiagga Pugnochiuso","16.188443","41.784740","6/21/2020","0"
"Puglia","Foggia","Vieste","IT016071060012 ","spiagga Pugnochiuso","16.188443","41.784740","7/5/2020","0"
"Puglia","Foggia","Vieste","IT016071060012 ","spiagga Pugnochiuso","16.188443","41.784740","7/22/2020","0"
"Puglia","Foggia","Vieste","IT016071060012 ","spiagga Pugnochiuso","16.188443","41.784740","8/4/2020","40"
"Puglia","Foggia","Vieste","IT016071060012 ","spiagga Pugnochiuso","16.188443","41.784740","8/19/2020","0"
"Puglia","Foggia","Vieste","IT016071060012 ","spiagga Pugnochiuso","16.188443","41.784740","9/1/2020","40"
"Puglia","Foggia","Vieste","IT016071060012 ","spiagga Pugnochiuso","16.188443","41.784740","9/29/2020","160"
"Puglia","Foggia","Mattinata","IT016071031001 ","spiaggia Baia delle Zagare","16.146875","41.748297","6/12/2020","0"
"Puglia","Foggia","Mattinata","IT016071031001 ","spiaggia Baia delle Zagare","16.146875","41.748297","6/21/2020","0"
"Puglia","Foggia","Mattinata","IT016071031001 ","spiaggia Baia delle Zagare","16.146875","41.748297","7/8/2020","0"
"Puglia","Foggia","Mattinata","IT016071031001 ","spiaggia Baia delle Zagare","16.146875","41.748297","7/22/2020","0"
"Puglia","Foggia","Mattinata","IT016071031001 ","spiaggia Baia delle Zagare","16.146875","41.748297","8/4/2020","0"
"Puglia","Foggia","Mattinata","IT016071031001 ","spiaggia Baia delle Zagare","16.146875","41.748297","8/19/2020","0"
"Puglia","Foggia","Mattinata","IT016071031001 ","spiaggia Baia delle Zagare","16.146875","41.748297","9/1/2020","40"
"Puglia","Foggia","Mattinata","IT016071031001 ","spiaggia Baia delle Zagare","16.146875","41.748297","9/29/2020","120"
"Puglia","Barletta-Andria-Trani","Bisceglie","IT016110003007 ","500 mt sud fogna citt.na Bisceglie","16.526503","41.240560","6/3/2020","0"
"Puglia","Barletta-Andria-Trani","Bisceglie","IT016110003007 ","500 mt sud fogna citt.na Bisceglie","16.526503","41.240560","6/24/2020","0"
"Puglia","Barletta-Andria-Trani","Bisceglie","IT016110003007 ","500 mt sud fogna citt.na Bisceglie","16.526503","41.240560","7/9/2020","436"
"Puglia","Barletta-Andria-Trani","Bisceglie","IT016110003007 ","500 mt sud fogna citt.na Bisceglie","16.526503","41.240560","7/21/2020","67496"
"Puglia","Barletta-Andria-Trani","Bisceglie","IT016110003007 ","500 mt sud fogna citt.na Bisceglie","16.526503","41.240560","8/4/2020","196"
"Puglia","Barletta-Andria-Trani","Bisceglie","IT016110003007 ","500 mt sud fogna citt.na Bisceglie","16.526503","41.240560","8/25/2020","3628"
"Puglia","Barletta-Andria-Trani","Bisceglie","IT016110003007 ","500 mt sud fogna citt.na Bisceglie","16.526503","41.240560","9/7/2020","80"
"Puglia","Barletta-Andria-Trani","Bisceglie","IT016110003007 ","500 mt sud fogna citt.na Bisceglie","16.526503","41.240560","9/16/2020","80"
"Puglia","Bari ","Molfetta","IT016072029002 ","Molfetta 1a Cala (BA)","16.614103","41.200160","6/3/2020","0"
"Puglia","Bari ","Molfetta","IT016072029002 ","Molfetta 1a Cala (BA)","16.614103","41.200160","6/24/2020","80"
"Puglia","Bari ","Molfetta","IT016072029002 ","Molfetta 1a Cala (BA)","16.614103","41.200160","7/9/2020","102120"
"Puglia","Bari ","Molfetta","IT016072029002 ","Molfetta 1a Cala (BA)","16.614103","41.200160","7/21/2020","44895"
"Puglia","Bari ","Molfetta","IT016072029002 ","Molfetta 1a Cala (BA)","16.614103","41.200160","8/4/2020","74167"
"Puglia","Bari ","Molfetta","IT016072029002 ","Molfetta 1a Cala (BA)","16.614103","41.200160","8/25/2020","29328"
"Puglia","Bari ","Molfetta","IT016072029002 ","Molfetta 1a Cala (BA)","16.614103","41.200160","9/7/2020","18413"
"Puglia","Bari ","Molfetta","IT016072029002 ","Molfetta 1a Cala (BA)","16.614103","41.200160","9/16/2020","18079"
"Puglia","Bari ","Giovinazzo","IT016072022010 ","Hotel Riva del sole","16.717113","41.173080","6/3/2020","0"
"Puglia","Bari ","Giovinazzo","IT016072022010 ","Hotel Riva del sole","16.717113","41.173080","6/24/2020","0"
"Puglia","Bari ","Giovinazzo","IT016072022010 ","Hotel Riva del sole","16.717113","41.173080","7/9/2020","137452"
"Puglia","Bari ","Giovinazzo","IT016072022010 ","Hotel Riva del sole","16.717113","41.173080","7/21/2020","20978"
"Puglia","Bari ","Giovinazzo","IT016072022010 ","Hotel Riva del sole","16.717113","41.173080","8/4/2020","21646"
"Puglia","Bari ","Giovinazzo","IT016072022010 ","Hotel Riva del sole","16.717113","41.173080","8/25/2020","5650"
"Puglia","Bari ","Giovinazzo","IT016072022010 ","Hotel Riva del sole","16.717113","41.173080","9/7/2020","392"
"Puglia","Bari ","Giovinazzo","IT016072022010 ","Hotel Riva del sole","16.717113","41.173080","9/16/2020","10879"
"Puglia","Bari ","Bari","IT016072006001 ","200 mt sud Lido Lucciola","16.733153","41.169720","6/3/2020","0"
"Puglia","Bari ","Bari","IT016072006001 ","200 mt sud Lido Lucciola","16.733153","41.169720","6/24/2020","0"
"Puglia","Bari ","Bari","IT016072006001 ","200 mt sud Lido Lucciola","16.733153","41.169720","7/9/2020","6908"
"Puglia","Bari ","Bari","IT016072006001 ","200 mt sud Lido Lucciola","16.733153","41.169720","7/21/2020","93808"
"Puglia","Bari ","Bari","IT016072006001 ","200 mt sud Lido Lucciola","16.733153","41.169720","8/4/2020","31337"
"Puglia","Bari ","Bari","IT016072006001 ","200 mt sud Lido Lucciola","16.733153","41.169720","8/25/2020","45952"
