"Regione","Provincia","Comune","Codice Sito","Nome Sito","LONG ","LAT ","Data ","Ostreopsis cf. ovata cell/l","Ostreopsis cf. ovata cell/ g fw"
"Calabria","Reggio Calabria","Scilla","RC3V","Costa viola","15.685181","38.247706","7/30/2020","100","1398"
"Calabria","Reggio Calabria","Scilla","RC3V","Costa viola","15.685181","38.247706","8/10/2020","100","2972"
"Calabria","Reggio Calabria","Scilla","RC3V","Costa viola","15.685181","38.247706","8/24/2020","160","573"
"Calabria","Reggio Calabria","Scilla","RC3V","Costa viola","15.685181","38.247706","9/9/2020","40","379"
"Calabria","Reggio Calabria","Palmi","RC4P","Palmi","15.858489","38.380742","7/9/2020","60","323"
"Calabria","Reggio Calabria","Palmi","RC4P","Palmi","15.858489","38.380742","7/30/2020","960","1283"
"Calabria","Reggio Calabria","Palmi","RC4P","Palmi","15.858489","38.380742","8/10/2020","80","8452"
"Calabria","Reggio Calabria","Palmi","RC4P","Palmi","15.858489","38.380742","8/24/2020","40","151"
"Calabria","Reggio Calabria","Palmi","RC4P","Palmi","15.858489","38.380742","9/9/2020","280","624"
"Calabria","Reggio Calabria","Africo Bianco","RC1B","Capo Bruzzano","16.14405","38.03161111","6/29/2020","0","5"
"Calabria","Reggio Calabria","Africo Bianco","RC1B","Capo Bruzzano","16.14405","38.03161111","7/31/2020","40","865"
"Calabria","Reggio Calabria","Africo Bianco","RC1B","Capo Bruzzano","16.14405","38.03161111","8/11/2020","0","132"
"Calabria","Reggio Calabria","Africo Bianco","RC1B","Capo Bruzzano","16.14405","38.03161111","8/31/2020","0","6"
"Calabria","Reggio Calabria","Africo Bianco","RC1B","Capo Bruzzano","16.14405","38.03161111","9/10/2020","0","12"
"Calabria","Reggio Calabria","Motta San Giovanni","RC2L","Lazzaro","15.670122","37.96408611","6/29/2020","0","0"
"Calabria","Reggio Calabria","Motta San Giovanni","RC2L","Lazzaro","15.670122","37.96408611","7/31/2020","0","37"
"Calabria","Reggio Calabria","Motta San Giovanni","RC2L","Lazzaro","15.670122","37.96408611","8/11/2020","60","434"
"Calabria","Reggio Calabria","Motta San Giovanni","RC2L","Lazzaro","15.670122","37.96408611","8/31/2020","0","0"
"Calabria","Reggio Calabria","Motta San Giovanni","RC2L","Lazzaro","15.670122","37.96408611","9/10/2020","0","44"
"Calabria","Vibo Valentia","Pizzo","VV1","Porticciolo ","16.15822","38.73480","7/28/2020","40","1021"
"Calabria","Vibo Valentia","Pizzo","VV1","Porticciolo ","16.15822","38.73480","8/24/2020","0","0"
"Calabria","Vibo Valentia","Pizzo","VV1","Porticciolo ","16.15822","38.73480","9/21/2020","20","99"
"Calabria","Vibo Valentia","Briatico","VV2","La Rocchetta ","16.04284","38.72626","7/29/2020","80","686"
"Calabria","Vibo Valentia","Briatico","VV2","La Rocchetta ","16.04284","38.72626","8/24/2020","100","1212"
"Calabria","Vibo Valentia","Briatico","VV2","La Rocchetta ","16.04284","38.72626","9/21/2020","0","185"
"Calabria","Vibo Valentia","Briatico","VV3","S.Irene ","16.00269","38.72344","7/29/2020","20","/"
"Calabria","Vibo Valentia","Briatico","VV3","S.Irene ","16.00269","38.72344","8/24/2020","40","/"
"Calabria","Vibo Valentia","Briatico","VV3","S.Irene ","16.00269","38.72344","9/21/2020","0","/"
"Calabria","Vibo Valentia","Vibo Valentia","VV4","Lido Proserpina ","16.13239","38.71714","7/29/2020","140","2095"
