"Regione","Provincia","Comune","Codice Sito","Nome Sito","LONG ","LAT ","Data ","Ostreopsis cf. ovata cell/l","Ostreopsis cf. ovata cell/ g fw"
"Emilia Romagna","Ferrara","Comacchio","OSTR4","Porto Garibaldi","12.245350","44.679467","22/06/20","0","0"
"Emilia Romagna","Ferrara","Comacchio","OSTR4","Porto Garibaldi","12.245350","44.679467","20/07/20","0","0"
"Emilia Romagna","Ferrara","Comacchio","OSTR4","Porto Garibaldi","12.245350","44.679467","17/08/20","0","0"
"Emilia Romagna","Ferrara","Comacchio","OSTR4","Porto Garibaldi","12.245350","44.679467","07/09/20","0","0"
"Emilia Romagna","Ravenna","Ravenna","OSTR9","Lido di Savio","12.205870","44.191330","22/06/20","0","0"
"Emilia Romagna","Ravenna","Ravenna","OSTR9","Lido di Savio","12.205870","44.191330","20/07/20","0","0"
"Emilia Romagna","Ravenna","Ravenna","OSTR9","Lido di Savio","12.205870","44.191330","17/08/20","0","0"
"Emilia Romagna","Ravenna","Ravenna","OSTR9","Lido di Savio","12.205870","44.191330","07/09/20","0","0"
"Emilia Romagna","Forlì-Cesenatico","Cesenatico","OSTR14","Cesenatico","12.237230","44.126620","23/06/20","0","0"
"Emilia Romagna","Forlì-Cesenatico","Cesenatico","OSTR14","Cesenatico","12.237230","44.126620","21/07/20","0","0"
"Emilia Romagna","Forlì-Cesenatico","Cesenatico","OSTR14","Cesenatico","12.237230","44.126620","18/08/20","0","0"
"Emilia Romagna","Forlì-Cesenatico","Cesenatico","OSTR14","Cesenatico","12.237230","44.126620","08/09/20","0","0"
"Emilia Romagna","Rimini","Misano Adriatico                ","OSTR19","Misano Brasile","12.415040","43.591503","23/06/20","0","0"
"Emilia Romagna","Rimini","Misano Adriatico                ","OSTR19","Misano Brasile","12.415040","43.591503","21/07/20","0","0"
"Emilia Romagna","Rimini","Misano Adriatico                ","OSTR19","Misano Brasile","12.415040","43.591503","18/08/20","0","0"
"Emilia Romagna","Rimini","Misano Adriatico                ","OSTR19","Misano Brasile","12.415040","43.591503","08/09/20","0","0"
