"Regione","Provincia","Comune","Codice Sito","Nome Sito","LONG ","LAT ","Data ","Ostreopsis cf. ovata ","Ostreopsis cf. ovata"
"","","","","","","","","cell/l"," cell/ g fw"
"Marche","Ancona","Ancona","0Y06","Passetto ascensore","13.534818","43.615790","7/10/2020","0","0"
"Marche","Ancona","Ancona","0Y06","Passetto ascensore","13.534818","43.615790","7/21/2020","0","0"
"Marche","Ancona","Ancona","0Y06","Passetto ascensore","13.534818","43.615790","8/4/2020","0","0"
"Marche","Ancona","Ancona","0Y06","Passetto ascensore","13.534818","43.615790","8/17/2020","0","0"
"Marche","Ancona","Ancona","0Y06","Passetto ascensore","13.534818","43.615790","9/9/2020","360","3312"
"Marche","Ancona","Ancona","0Y06","Passetto ascensore","13.534818","43.615790","9/22/2020","11280","19338"
"Marche","Ancona","Ancona","0Y06","Passetto ascensore","13.534818","43.615790","10/1/2020","480","4256"
"Marche","Ancona","Ancona","0Y06","Passetto ascensore","13.534818","43.615790","10/22/2020","360","3423"
"Marche","Ancona","Ancona","0Y03","Portonovo da Ramona","13.591666666667","43.566666666667","7/10/2020","0","0"
"Marche","Ancona","Ancona","0Y03","Portonovo da Ramona","13.591666666667","43.566666666667","7/21/2020","0","0"
"Marche","Ancona","Ancona","0Y03","Portonovo da Ramona","13.591666666667","43.566666666667","8/4/2020","0","0"
"Marche","Ancona","Ancona","0Y03","Portonovo da Ramona","13.591666666667","43.566666666667","8/17/2020","0","0"
"Marche","Ancona","Ancona","0Y03","Portonovo da Ramona","13.591666666667","43.566666666667","9/9/2020","400","1967"
"Marche","Ancona","Ancona","0Y03","Portonovo da Ramona","13.591666666667","43.566666666667","9/24/2020","1600","13588"
"Marche","Ancona","Ancona","0Y03","Portonovo da Ramona","13.591666666667","43.566666666667","10/1/2020","2320","3721"
"Marche","Ancona","Ancona","0Y03","Portonovo da Ramona","13.591666666667","43.566666666667","10/22/2020","1280","1885"
"Marche","Ancona","Sirolo ","0Y07","Molo spiaggia Urbani","13.624722222222","43.524166666667","7/10/2020","0","0"
"Marche","Ancona","Sirolo ","0Y07","Molo spiaggia Urbani","13.624722222222","43.524166666667","7/21/2020","0","0"
