"Regione","Provincia","Comune","Codice Sito","Nome Sito","LONG ","LAT ","Data ","Ostreopsis cf. ovata cell/l","Ostreopsis cf. ovata cell/ g fw","","","","","","","","","",""
"Abruzzo","Teramo","Martinsicuro","IT013067047007","25 m a sud del porticciolo","13.9207","42.8904","6/8/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Martinsicuro","IT013067047007","25 m a sud del porticciolo","13.9207","42.8904","6/9/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Martinsicuro","IT013067047007","25 m a sud del porticciolo","13.9207","42.8904","7/6/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Martinsicuro","IT013067047007","25 m a sud del porticciolo","13.9207","42.8904","7/7/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Martinsicuro","IT013067047007","25 m a sud del porticciolo","13.9207","42.8904","8/3/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Martinsicuro","IT013067047007","25 m a sud del porticciolo","13.9207","42.8904","8/4/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Martinsicuro","IT013067047007","25 m a sud del porticciolo","13.9207","42.8904","9/2/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Martinsicuro","IT013067047007","25 m a sud del porticciolo","13.9207","42.8904","9/3/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Alba Adriatica","IT013067001001","Zona antistante Via Sardegna","13.9362","42.8266","6/8/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Alba Adriatica","IT013067001001","Zona antistante Via Sardegna","13.9362","42.8266","6/9/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Alba Adriatica","IT013067001001","Zona antistante Via Sardegna","13.9362","42.8266","7/6/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Alba Adriatica","IT013067001001","Zona antistante Via Sardegna","13.9362","42.8266","7/7/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Alba Adriatica","IT013067001001","Zona antistante Via Sardegna","13.9362","42.8266","8/3/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Alba Adriatica","IT013067001001","Zona antistante Via Sardegna","13.9362","42.8266","8/4/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Alba Adriatica","IT013067001001","Zona antistante Via Sardegna","13.9362","42.8266","9/2/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Alba Adriatica","IT013067001001","Zona antistante Via Sardegna","13.9362","42.8266","9/3/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Tortoreto","IT013067044003","Zona antistante Via Trieste","13.9445","42.8041","6/8/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Tortoreto","IT013067044003","Zona antistante Via Trieste","13.9445","42.8041","6/9/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Tortoreto","IT013067044003","Zona antistante Via Trieste","13.9445","42.8041","7/6/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Tortoreto","IT013067044003","Zona antistante Via Trieste","13.9445","42.8041","7/7/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Tortoreto","IT013067044003","Zona antistante Via Trieste","13.9445","42.8041","8/3/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Tortoreto","IT013067044003","Zona antistante Via Trieste","13.9445","42.8041","8/4/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Tortoreto","IT013067044003","Zona antistante Via Trieste","13.9445","42.8041","9/2/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Tortoreto","IT013067044003","Zona antistante Via Trieste","13.9445","42.8041","9/3/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Giulianova","IT013067025003","Zona antistante Lung.re Spalato, 80","13.9757","42.7485","6/8/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Giulianova","IT013067025003","Zona antistante Lung.re Spalato, 80","13.9757","42.7485","6/9/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Giulianova","IT013067025003","Zona antistante Lung.re Spalato, 80","13.9757","42.7485","7/6/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Giulianova","IT013067025003","Zona antistante Lung.re Spalato, 80","13.9757","42.7485","7/7/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Giulianova","IT013067025003","Zona antistante Lung.re Spalato, 80","13.9757","42.7485","8/3/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Giulianova","IT013067025003","Zona antistante Lung.re Spalato, 80","13.9757","42.7485","8/4/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Giulianova","IT013067025003","Zona antistante Lung.re Spalato, 80","13.9757","42.7485","9/2/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Giulianova","IT013067025003","Zona antistante Lung.re Spalato, 80","13.9757","42.7485","9/3/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Roseto degli Abruzzi","IT013067037006","Zona antistante Via Claudio","14.0259","42.6676","6/8/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Roseto degli Abruzzi","IT013067037006","Zona antistante Via Claudio","14.0259","42.6676","6/9/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Roseto degli Abruzzi","IT013067037006","Zona antistante Via Claudio","14.0259","42.6676","7/6/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Roseto degli Abruzzi","IT013067037006","Zona antistante Via Claudio","14.0259","42.6676","7/7/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Roseto degli Abruzzi","IT013067037006","Zona antistante Via Claudio","14.0259","42.6676","8/3/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Roseto degli Abruzzi","IT013067037006","Zona antistante Via Claudio","14.0259","42.6676","8/4/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Roseto degli Abruzzi","IT013067037006","Zona antistante Via Claudio","14.0259","42.6676","9/2/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Roseto degli Abruzzi","IT013067037006","Zona antistante Via Claudio","14.0259","42.6676","9/3/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Pineto","IT013067035005","Zona antistante Torre di Cerrano","14.0905","42.5852","6/8/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Pineto","IT013067035005","Zona antistante Torre di Cerrano","14.0905","42.5852","6/9/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Pineto","IT013067035005","Zona antistante Torre di Cerrano","14.0905","42.5852","7/6/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Pineto","IT013067035005","Zona antistante Torre di Cerrano","14.0905","42.5852","7/7/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Pineto","IT013067035005","Zona antistante Torre di Cerrano","14.0905","42.5852","8/3/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Pineto","IT013067035005","Zona antistante Torre di Cerrano","14.0905","42.5852","8/4/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Pineto","IT013067035005","Zona antistante Torre di Cerrano","14.0905","42.5852","9/2/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Pineto","IT013067035005","Zona antistante Torre di Cerrano","14.0905","42.5852","9/3/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Silvi","IT013067040004","Zona antistante V.le C.Colombo, 14","14.1366","42.5387","6/8/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Silvi","IT013067040004","Zona antistante V.le C.Colombo, 14","14.1366","42.5387","6/9/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Silvi","IT013067040004","Zona antistante V.le C.Colombo, 14","14.1366","42.5387","7/6/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Silvi","IT013067040004","Zona antistante V.le C.Colombo, 14","14.1366","42.5387","7/7/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Silvi","IT013067040004","Zona antistante V.le C.Colombo, 14","14.1366","42.5387","8/3/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Silvi","IT013067040004","Zona antistante V.le C.Colombo, 14","14.1366","42.5387","8/4/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Silvi","IT013067040004","Zona antistante V.le C.Colombo, 14","14.1366","42.5387","9/2/2020","0","0","","","","","","","","","",""
"Abruzzo","Teramo","Silvi","IT013067040004","Zona antistante V.le C.Colombo, 14","14.1366","42.5387","9/3/2020","0","0","","","","","","","","","",""
"Abruzzo","Pescara","Montesilvano","IT013068024004","100 m a sud foce f. Saline","14.1545","42.5255","6/8/2020","0","0","","","","","","","","","",""
"Abruzzo","Pescara","Montesilvano","IT013068024004","100 m a sud foce f. Saline","14.1545","42.5255","6/9/2020","0","0","","","","","","","","","",""
"Abruzzo","Pescara","Montesilvano","IT013068024004","100 m a sud foce f. Saline","14.1545","42.5255","7/6/2020","0","0","","","","","","","","","",""
"Abruzzo","Pescara","Montesilvano","IT013068024004","100 m a sud foce f. Saline","14.1545","42.5255","7/7/2020","0","0","","","","","","","","","",""
"Abruzzo","Pescara","Montesilvano","IT013068024004","100 m a sud foce f. Saline","14.1545","42.5255","8/3/2020","0","0","","","","","","","","","",""
"Abruzzo","Pescara","Montesilvano","IT013068024004","100 m a sud foce f. Saline","14.1545","42.5255","8/4/2020","0","0","","","","","","","","","",""
"Abruzzo","Pescara","Montesilvano","IT013068024004","100 m a sud foce f. Saline","14.1545","42.5255","9/2/2020","0","0","","","","","","","","","",""
"Abruzzo","Pescara","Montesilvano","IT013068024004","100 m a sud foce f. Saline","14.1545","42.5255","9/3/2020","0","0","","","","","","","","","",""
"Abruzzo","Pescara","Pescara","IT013068028005","Zona antistante teatro D'Annunzio","14.2364","42.4586","6/8/2020","0","0","","","","","","","","","",""
"Abruzzo","Pescara","Pescara","IT013068028005","Zona antistante teatro D'Annunzio","14.2364","42.4586","6/9/2020","0","0","","","","","","","","","",""
"Abruzzo","Pescara","Pescara","IT013068028005","Zona antistante teatro D'Annunzio","14.2364","42.4586","7/6/2020","0","0","","","","","","","","","",""
"Abruzzo","Pescara","Pescara","IT013068028005","Zona antistante teatro D'Annunzio","14.2364","42.4586","7/7/2020","0","0","","","","","","","","","",""
"Abruzzo","Pescara","Pescara","IT013068028005","Zona antistante teatro D'Annunzio","14.2364","42.4586","8/3/2020","0","0","","","","","","","","","",""
"Abruzzo","Pescara","Pescara","IT013068028005","Zona antistante teatro D'Annunzio","14.2364","42.4586","8/4/2020","0","0","","","","","","","","","",""
"Abruzzo","Pescara","Pescara","IT013068028005","Zona antistante teatro D'Annunzio","14.2364","42.4586","9/2/2020","0","0","","","","","","","","","",""
"Abruzzo","Pescara","Pescara","IT013068028005","Zona antistante teatro D'Annunzio","14.2364","42.4586","9/3/2020","0","0","","","","","","","","","",""
"Abruzzo","Chieti","Francavilla al mare","IT013069035007","350 m a sud foce f. Alento","14.2857","42.4252","6/8/2020","0","0","","","","","","","","","",""
"Abruzzo","Chieti","Francavilla al mare","IT013069035007","350 m a sud foce f. Alento","14.2857","42.4252","6/9/2020","0","0","","","","","","","","","",""
"Abruzzo","Chieti","Francavilla al mare","IT013069035007","350 m a sud foce f. Alento","14.2857","42.4252","7/6/2020","0","0","","","","","","","","","",""
"Abruzzo","Chieti","Francavilla al mare","IT013069035007","350 m a sud foce f. Alento","14.2857","42.4252","7/7/2020","0","0","","","","","","","","","",""
"Abruzzo","Chieti","Francavilla al mare","IT013069035007","350 m a sud foce f. Alento","14.2857","42.4252","8/3/2020","0","0","","","","","","","","","",""
"Abruzzo","Chieti","Francavilla al mare","IT013069035007","350 m a sud foce f. Alento","14.2857","42.4252","8/4/2020","0","0","","","","","","","","","",""
"Abruzzo","Chieti","Francavilla al mare","IT013069035007","350 m a sud foce f. Alento","14.2857","42.4252","9/2/2020","0","0","","","","","","","","","",""
"Abruzzo","Chieti","Francavilla al mare","IT013069035007","350 m a sud foce f. Alento","14.2857","42.4252","9/3/2020","0","0","","","","","","","","","",""
"Abruzzo","Chieti","Ortona","IT013069058015","Zona prospicente molo nord del porto","14.4083","42.3595","6/8/2020","0","0","","","","","","","","","",""
"Abruzzo","Chieti","Ortona","IT013069058015","Zona prospicente molo nord del porto","14.4083","42.3595","6/9/2020","0","0","","","","","","","","","",""
"Abruzzo","Chieti","Ortona","IT013069058015","Zona prospicente molo nord del porto","14.4083","42.3595","7/6/2020","0","0","","","","","","","","","",""
"Abruzzo","Chieti","Ortona","IT013069058015","Zona prospicente molo nord del porto","14.4083","42.3595","7/7/2020","0","0","","","","","","","","","",""
"Abruzzo","Chieti","Ortona","IT013069058015","Zona prospicente molo nord del porto","14.4083","42.3595","8/3/2020","0","0","","","","","","","","","",""
"Abruzzo","Chieti","Ortona","IT013069058015","Zona prospicente molo nord del porto","14.4083","42.3595","8/4/2020","0","0","","","","","","","","","",""
"Abruzzo","Chieti","Ortona","IT013069058015","Zona prospicente molo nord del porto","14.4083","42.3595","9/2/2020","0","0","","","","","","","","","",""
"Abruzzo","Chieti","Ortona","IT013069058015","Zona prospicente molo nord del porto","14.4083","42.3595","9/3/2020","0","0","","","","","","","","","",""
"Abruzzo","Chieti","S. Vito Chietino","IT013069086004","zona ant. molo Sud","14.4460","42.3099","6/8/2020","0","0","","","","","","","","","",""
"Abruzzo","Chieti","S. Vito Chietino","IT013069086004","zona ant. molo Sud","14.4460","42.3099","6/9/2020","0","0","","","","","","","","","",""
"Abruzzo","Chieti","S. Vito Chietino","IT013069086004","zona ant. molo Sud","14.4460","42.3099","7/6/2020","0","0","","","","","","","","","",""
